Administración responsable del Registro;Alta en RGFP;Arqueo GT;CFR;Capacidad del buque no aportable por:;Censo por modalidad;Código;Eslora total;Estado;IMO;IRCS;Imagen;Material del casco;Matrícula;Nombre;Potencia;Puerto base;Tipo de auxiliar
Secretaría General de Pesca;10/05/1989;0,69;ESP000001951;;ARTES MENORES EN EL MEDITERRANEO;1951;5,94 m;Baja Definitiva (desde el 20/12/2011);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/1390;Madera;3MH-1-178;ILLOT GRAN;16,18 kW (22,0 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;1,47;ESP000001943;;ARTES MENORES EN EL MEDITERRANEO;1943;0,00 m;Baja Definitiva (desde el 25/10/2000);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/1382;Madera;3MH-1-438;ISIS DOS;36,77 kW (50,0 CV);73200 - Mahón, ILLES BALEARS;
Cataluña;22/06/2015;1,74;-;;;58880;6,20 m;Alta Definitiva (desde el 07/03/2016);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/20656;Poliester;4MH-1-1-10;JACARE;110,32 kW (150,0 CV);64620 - La Escala, GIRONA (CATALUÑA);Auxiliar de marisqueo
Secretaría General de Pesca;10/05/1989;0,59;ESP000054570;;ARTES MENORES EN EL MEDITERRANEO;54570;5,10 m;Alta Definitiva (desde el 23/09/2024);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/17924;Madera;3MH-1-278;JAMA IV;2,21 kW (3,0 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;1,61;ESP000008258;;ARTES MENORES EN EL MEDITERRANEO;8258;7,07 m;Baja Definitiva (desde el 25/10/2000);-;-;;Madera;3MH-1-393;JOAN;47,81 kW (65,0 CV);73210 - Fornells, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;0,55;ESP000001927;;ARTES MENORES EN EL MEDITERRANEO;1927;5,16 m;Baja Definitiva (desde el 03/03/2014);-;-;;Poliester;3MH-1-325;JOSE LUIS;9,56 kW (13,0 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;0,59;ESP000012242;;ARTES MENORES EN EL MEDITERRANEO;12242;5,10 m;Baja Definitiva (desde el 20/01/2010);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/6699;Poliester;3MH-1-413;JOSE Y ANA;5,88 kW (8,0 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;35,30;ESP000008254;;ARRASTRE DE FONDO EN EL MEDITERRANEO;8254;18,33 m;Baja Definitiva (desde el 01/03/2007);-;EA5298;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/5333;Madera;3MH-1-352;JOVEN JOSEFINA;88,26 kW (120,0 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;0,74;ESP000001924;;ARTES MENORES EN EL MEDITERRANEO;1924;5,66 m;Baja Definitiva (desde el 03/03/2014);-;-;;Madera;3MH-1-443;JUANA;5,88 kW (8,0 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;0,60;ESP000001925;;ARTES MENORES EN EL MEDITERRANEO;1925;5,12 m;Baja Definitiva (desde el 15/03/1999);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/1370;Poliester;3MH-1-467;JUANA;7,35 kW (10,0 CV);73200 - Mahón, ILLES BALEARS;
