Administración responsable del Registro;Alta en RGFP;Arqueo GT;CFR;Capacidad del buque no aportable por:;Censo por modalidad;Código;Eslora total;Estado;IMO;IRCS;Imagen;Material del casco;Matrícula;Nombre;Potencia;Puerto base;Tipo de auxiliar
Secretaría General de Pesca;10/05/1989;1,37;ESP000004885;;ARTES MENORES EN EL MEDITERRANEO;4885;6,41 m;Baja Definitiva (desde el 17/01/2000);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3446;Madera;3AL-1-479;ADORACION;11,03 kW (15,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;23/03/2006;4,00;ESP000026613;;ARTES MENORES EN EL MEDITERRANEO;26613;10,50 m;Alta Definitiva (desde el 10/01/2007);-;EB2302;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/14375;Poliester;3AL-1-1-05;ALFONSITO CHICO;22,06 kW (30,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Andalucía;10/02/2006;33,57;-;;;26570;18,00 m;Alta Definitiva (desde el 10/02/2006);-;EA7181;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/14332;Poliester;4AL-1-1-04;ALMADRABA DIEZ;261,10 kW (355,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);Auxiliar de almadraba
Secretaría General de Pesca;10/05/1989;1,09;ESP000004900;;ARTES MENORES EN EL MEDITERRANEO;4900;6,00 m;Alta Definitiva (desde el 10/03/2022);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/20965;Madera;3AL-1-433;AMALIA;22,06 kW (30,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;17/06/2011;1,98;ESP000027431;;ARTES MENORES EN EL MEDITERRANEO;27431;9,04 m;Alta Definitiva (desde el 06/08/2012);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/15188;Poliester;3AL-1-1-10;ANA ISABEL SEGUNDO;33,82 kW (46,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;0,76;ESP000004879;;ARTES MENORES EN EL MEDITERRANEO;4879;0,00 m;Baja Definitiva (desde el 13/03/2001);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3444;Madera;3AL-1-442;ANTONIO Y MANUEL;7,35 kW (10,0 CV);43100 - Ceuta;
Andalucía;24/10/2022;1,06;-;;;100401;5,83 m;Alta Definitiva (desde el 30/03/2023);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/22913;Fibra de Vidrio/Plástico;4AL-1-1-22;AUXILIAR JC MACKINTOSH;12,14 kW (16,5 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);Auxiliar de cerquero y otros
Secretaría General de Pesca;10/05/1989;0,79;ESP000004908;;ARTES MENORES EN EL MEDITERRANEO;4908;0,00 m;Baja Definitiva (desde el 13/03/2001);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3463;Madera;3AL-1-469;CARACOLA DEL MAR;5,88 kW (8,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;3,40;ESP000014184;;ARTES MENORES EN EL MEDITERRANEO;14184;8,30 m;Baja Definitiva (desde el 02/10/2015);-;-;;Madera;3AL-1-492;CRISTO;22,06 kW (30,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;05/07/1991;10,05;ESP000022025;;CERCO EN EL MEDITERRANEO;22025;10,76 m;Alta Definitiva (desde el 03/09/2012);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/9861;Poliester;3AL-1-1-91;DASERBE;44,12 kW (60,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;0,65;ESP000004909;;ARTES MENORES EN EL MEDITERRANEO;4909;0,00 m;Baja Definitiva (desde el 13/03/2001);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3464;Madera;3AL-1-472;DIEGUITO;8,83 kW (12,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;3,44;ESP000004902;;-;4902;0,00 m;Baja Definitiva (desde el 01/02/1995);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3459;Madera;3AL-1-471;ENCARNACION;47,81 kW (65,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;1,25;ESP000004890;;ARTES MENORES EN EL MEDITERRANEO;4890;5,83 m;Alta Definitiva (desde el 31/03/2023);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3451;Madera;3AL-1-467;FRANCISCO Y JOSE;11,03 kW (15,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;13/11/2006;9,75;ESP000026809;;ARTES MENORES EN EL GOLFO DE CADIZ;26809;13,00 m;Baja Definitiva (desde el 15/04/2021);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/14571;Poliester;3AL-1-2-05;HERMANOS BRALO;69,12 kW (94,0 CV);33510 - Conil, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;0,00;ESP000008568;;-;8568;8,07 m;Baja Definitiva (desde el 09/07/1992);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/5456;Madera;3AL-1-495;HERMANOS GABANCHO;22,06 kW (30,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;2,52;ESP000003671;;ARTES MENORES EN EL MEDITERRANEO;3671;7,50 m;Alta Definitiva (desde el 20/09/2012);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/2569;Madera;3AL-1-462;HERMANOS HUERTAS;27,21 kW (37,0 CV);42100 - Adra, ALMERÍA (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;2,55;ESP000004878;;ARTES MENORES EN EL MEDITERRANEO;4878;7,37 m;Baja Definitiva (desde el 18/05/2012);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3443;Madera;3AL-1-470;HERMANOS LOBATON;21,33 kW (29,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;0,66;ESP000004892;;ARTES MENORES EN EL MEDITERRANEO;4892;0,00 m;Baja Definitiva (desde el 13/03/2001);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3452;Madera;3AL-1-422;HERMANOS ORTIZ;7,35 kW (10,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;5,86;ESP000004877;;ARTES MENORES EN EL MEDITERRANEO;4877;11,17 m;Alta Definitiva (desde el 10/05/1989);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3442;Madera;3AL-1-494;HERMANOS SANCHEZ;94,12 kW (128,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;12/09/1994;4,67;ESP000022865;;ARTES MENORES EN EL MEDITERRANEO;22865;9,45 m;Alta Definitiva (desde el 12/09/1994);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/21346;Madera;3AL-1-1-94;HNOS. BLANCO;47,80 kW (65,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;04/11/2003;2,82;ESP000025738;;ARTES MENORES EN EL MEDITERRANEO;25738;7,90 m;Alta Definitiva (desde el 21/09/2004);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/13504;Poliester;3AL-1-2-03;JOSE Y ANA;40,45 kW (55,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;0,00;ESP000004898;;-;4898;0,00 m;Baja Definitiva (desde el 19/11/1990);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3456;Madera;3AL-1-459;JUAN;29,42 kW (40,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;5,11;ESP000014171;;ARTES MENORES EN EL MEDITERRANEO;14171;0,00 m;Baja Definitiva (desde el 30/11/1995);-;-;;Madera;3AL-1-496;LA GAVIOTA;36,77 kW (50,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/06/1997;48,81;ESP000023523;;PALANGRE DE SUPERFICIE EN EL MEDITERRANEO;23523;17,00 m;Baja Definitiva (desde el 07/01/2009);-;EB3133;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/11321;Poliester;3AL-1-1-97;MANUEL EL LOBICO;86,79 kW (118,0 CV);34200 - Algeciras, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;26/02/1999;7,36;ESP000024115;;ARTES MENORES EN EL MEDITERRANEO;24115;11,00 m;Alta Definitiva (desde el 21/06/2022);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/22726;Poliester;3AL-1-2-98;MANUEL Y ANTONIO 6;72,06 kW (98,0 CV);41400 - Málaga (ANDALUCÍA);
Secretaría General de Pesca;16/04/2004;2,67;ESP000025911;;ARTES MENORES EN EL MEDITERRANEO;25911;7,84 m;Alta Definitiva (desde el 31/05/2005);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/13677;Poliester;3AL-1-1-03;MANUEL Y PATRICIA;32,36 kW (44,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;8,07;ESP000010421;;ARTES MENORES EN EL MEDITERRANEO;10421;12,90 m;Baja Definitiva (desde el 19/01/2000);-;-;;Madera;3AL-1-501;MAR ROJO;47,07 kW (64,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;6,10;ESP000004876;;ARTES MENORES EN EL MEDITERRANEO;4876;10,65 m;Baja Definitiva (desde el 12/07/2011);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3441;Madera;3AL-1-499;MARGARITA;94,14 kW (128,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;3,45;ESP000004893;;ARTES MENORES EN EL MEDITERRANEO;4893;8,10 m;Alta Definitiva (desde el 18/03/2025);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3453;Madera;3AL-1-481;MARIA DEL CARMEN;44,13 kW (60,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;1,89;ESP000005138;;ARTES MENORES EN EL GOLFO DE CADIZ;5138;6,75 m;Baja Definitiva (desde el 25/03/2009);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3623;Madera;3AL-1-457;MARIA E ISABEL;21,33 kW (29,0 CV);33500 - Barbate, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;15,71;ESP000004889;;PALANGRE DE FONDO EN EL MEDITERRANEO;4889;14,15 m;Alta Definitiva (desde el 10/05/1989);-;EB3527;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/20940;Madera;3AL-1-451;MARIA INMACULADA;80,88 kW (110,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;0,00;ESP000004903;;-;4903;0,00 m;Baja Definitiva (desde el 28/06/1991);-;-;;Madera;3AL-1-491;MARIA TERESA;29,42 kW (40,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;12,17;ESP000004896;;ARTES MENORES EN EL MEDITERRANEO;4896;12,60 m;Alta Definitiva (desde el 10/05/1989);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/22471;Madera;3AL-1-502;MARILUZ;94,12 kW (128,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;24/04/2007;6,72;ESP000026935;;CERCO EN EL MEDITERRANEO;26935;12,00 m;Alta Definitiva (desde el 30/10/2008);-;EB2556;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/14696;Fibra de Vidrio/Plástico;3AL-1-7-04;MI JOSELITO;48,53 kW (66,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;1,07;ESP000004899;;ARTES MENORES EN EL MEDITERRANEO;4899;5,50 m;Baja Definitiva (desde el 16/11/2009);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3457;Madera;3AL-1-439;MIGUELITO JESUS;7,35 kW (10,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;0,00;ESP000001576;;-;1576;22,90 m;Baja Definitiva (desde el 30/06/1990);-;EA9804;;Madera;3AL-1-440;NUESTRA VIRGEN DE LA LUZ;316,26 kW (430,0 CV);34200 - Algeciras, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;13/03/1995;6,22;ESP000022970;;ARTES MENORES EN EL MEDITERRANEO;22970;9,95 m;Alta Definitiva (desde el 13/03/1995);-;EB2250;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/10777;Poliester;3AL-1-2-94;NUEVA ENCARNACION PRIMERA;44,12 kW (60,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;17/03/2005;6,72;ESP000026254;;ARTES MENORES EN EL MEDITERRANEO;26254;12,00 m;Alta Definitiva (desde el 26/07/2006);-;EB2363;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/14017;Poliester;3AL-1-3-04;NUEVO BAMBY;48,54 kW (66,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;16/06/2005;5,04;ESP000026341;;ARTES MENORES EN EL MEDITERRANEO;26341;10,50 m;Alta Definitiva (desde el 31/03/2023);-;EB2299;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/14104;Poliester;3AL-1-2-04;NUEVO CAÑADA;22,01 kW (29,9 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;03/11/2005;9,75;ESP000026477;;CERCO EN EL MEDITERRANEO;26477;13,00 m;Baja Definitiva (desde el 18/02/2026);-;EB2286;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/14240;Poliester;3AL-1-4-04;NUEVO FONTANILLA;69,12 kW (94,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;30/08/2010;11,71;ESP000027387;;ARTES MENORES EN EL MEDITERRANEO;27387;13,00 m;Alta Definitiva (desde el 26/04/2011);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/15144;Poliester;3AL-1-2-08;NUEVO GABANCHO;66,20 kW (90,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;15/11/1995;4,68;ESP000023100;;ARTES MENORES EN EL MEDITERRANEO;23100;9,60 m;Baja Definitiva (desde el 14/06/2010);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/10906;Madera;3AL-1-1-95;NUEVO GAVIOTA;36,77 kW (50,0 CV);42100 - Adra, ALMERÍA (ANDALUCÍA);
Secretaría General de Pesca;01/04/1992;11,75;ESP000022243;;ARTES MENORES EN EL MEDITERRANEO;22243;10,70 m;Baja Definitiva (desde el 15/01/2008);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/10073;Poliester;3AL-1-2-91;NUEVO HERMANOS GABANCHO;66,19 kW (90,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;89,90;ESP000001592;;-;1592;23,50 m;Baja Definitiva (desde el 05/11/1996);-;EA-5994;;Madera;3AL-1-490;NUEVO JUAN Y LOLI;441,30 kW (600,0 CV);33200 - Puerto de Santa Maria, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;24/04/2008;9,75;ESP000027114;;ARTES MENORES EN EL MEDITERRANEO;27114;13,00 m;Alta Definitiva (desde el 02/12/2009);-;EB2300;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/14872;Poliester;3AL-1-1-07;NUEVO JULIA;69,12 kW (94,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;07/11/2005;4,46;ESP000026481;;ARTES MENORES EN EL MEDITERRANEO;26481;10,50 m;Alta Definitiva (desde el 09/10/2006);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/21640;Poliester;3AL-1-6-04;NUEVO JULIO CHICO;22,06 kW (30,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;30/06/1989;21,66;ESP000015960;;-;15960;0,00 m;Baja Definitiva (desde el 12/12/1996);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/8271;Madera;3AL-1-500;NUEVO MANUEL EL LOBICO;91,94 kW (125,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;15/12/1999;8,07;ESP000024409;;ARTES MENORES EN EL MEDITERRANEO;24409;12,90 m;Baja Definitiva (desde el 22/06/2011);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/12202;Madera;3AL-1-1-98;NUEVO MAR ROJO;44,13 kW (60,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;17/03/2006;6,72;ESP000026608;;ARTES MENORES EN EL MEDITERRANEO;26608;12,00 m;Alta Definitiva (desde el 04/09/2006);-;EB2729;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/14370;Poliester;3AL-1-5-04;NUEVO MARI CARUCHI;48,53 kW (66,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;17/06/2008;6,72;ESP000027147;;ARTES MENORES EN EL MEDITERRANEO;27147;12,00 m;Alta Definitiva (desde el 30/01/2023);-;EB2501;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/14905;Poliester;3AL-1-2-07;NUEVO ROMANA;48,53 kW (66,0 CV);34200 - Algeciras, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;15/10/2008;2,96;ESP000027215;;ARTES MENORES EN EL MEDITERRANEO;27215;9,00 m;Alta Definitiva (desde el 12/02/2010);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/14972;Poliester;3AL-1-1-08;NUEVO TOTOÑO;18,90 kW (25,7 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;0,00;ESP000004911;;-;4911;0,00 m;Baja Definitiva (desde el 11/10/1994);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3465;Madera;3AL-1-493;PACO PASAMAR;18,39 kW (25,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;20/03/1991;5,76;ESP000021737;;PALANGRE DE FONDO EN EL MEDITERRANEO;21737;9,85 m;Alta Definitiva (desde el 20/03/1991);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/9578;Madera;3AL-1-504;PATRICIA Y MANUEL UNO;29,41 kW (40,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;3,27;ESP000004895;;ARTES MENORES EN EL GOLFO DE CADIZ;4895;7,65 m;Baja Definitiva (desde el 17/05/2005);-;FE34059;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3454;Madera;3AL-1-464;PLAYA DE LOS LANCES;29,42 kW (40,0 CV);33500 - Barbate, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;17/03/2005;9,75;ESP000026253;;ARTES MENORES EN EL GOLFO DE CADIZ;26253;13,00 m;Baja Provisional (desde el 09/04/2025);-;EB3390;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/14016;Poliester;3AL-1-1-04;RAQUEL Y SHEILA;69,12 kW (94,0 CV);33500 - Barbate, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;6,53;ESP000010558;;PALANGRE DE FONDO EN EL MEDITERRANEO;10558;9,70 m;Baja Definitiva (desde el 03/11/2005);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/6083;Madera;3AL-1-498;ROMANA;73,55 kW (100,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;17,20;ESP000004913;;CERCO EN EL GOLFO DE CADIZ;4913;12,50 m;Baja Definitiva (desde el 05/06/2001);-;EA-7423;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3467;Madera;3AL-1-497;SEA LO QUE DIOS QUIERA;102,97 kW (140,0 CV);33500 - Barbate, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;18/09/1990;5,91;ESP000021823;;ARTES MENORES EN EL MEDITERRANEO;21823;9,20 m;Alta Definitiva (desde el 18/09/1990);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/9664;Madera;3AL-1-505;SEGUNDO JUAN;27,21 kW (37,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;1,23;ESP000004891;;ARTES MENORES EN EL MEDITERRANEO;4891;0,00 m;Baja Definitiva (desde el 13/03/2001);-;-;;Madera;3AL-1-480;SEIS HERMANOS SANTANDER;6,62 kW (9,0 CV);81591 - Playa San Marcos, SANTA CRUZ DE TENERIFE (CANARIAS);
Secretaría General de Pesca;10/05/1989;0,57;ESP000010717;;ARTES MENORES EN EL GOLFO DE CADIZ;10717;0,00 m;Baja Definitiva (desde el 20/06/1996);-;-;;Madera;3AL-1-437;SERAFIN SENA;8,83 kW (12,0 CV);33500 - Barbate, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;07/02/2007;6,72;ESP000026884;;ARTES MENORES EN EL MEDITERRANEO;26884;12,00 m;Alta Definitiva (desde el 30/10/2008);-;EB2392;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/21722;Fibra de Vidrio/Plástico;3AL-1-3-05;SERGIO Y ANITA;48,54 kW (66,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;0,91;ESP000004912;;ARTES MENORES EN EL MEDITERRANEO;4912;5,60 m;Baja Definitiva (desde el 20/12/2005);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3466;Madera;3AL-1-468;SERVANDETE;7,35 kW (10,0 CV);34200 - Algeciras, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;3,42;ESP000004887;;ARTES MENORES EN EL MEDITERRANEO;4887;9,01 m;Baja Definitiva (desde el 09/02/2011);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3448;Madera;3AL-1-483;SUSANA;40,45 kW (55,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;0,00;ESP000020893;;-;20893;0,00 m;Baja Definitiva (desde el 19/04/1994);-;-;;Madera;3AL-1-445;TOLI;3,68 kW (5,0 CV);33100 - Rota, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;6,39;ESP000004905;;ARTES MENORES EN EL MEDITERRANEO;4905;0,00 m;Baja Definitiva (desde el 05/03/1999);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3461;Madera;3AL-1-487;TRINI;94,14 kW (128,0 CV);34100 - Tarifa, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;11,62;ESP000004888;;PALANGRE DE SUPERFICIE EN EL MEDITERRANEO;4888;0,00 m;Baja Definitiva (desde el 27/03/2000);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3449;Madera;3AL-1-417;VIRGEN DE LA LUZ;99,29 kW (135,0 CV);51110 - Carboneras, ALMERÍA (ANDALUCÍA);
Secretaría General de Pesca;01/10/1993;5,05;ESP000022642;;ARTES MENORES EN EL MEDITERRANEO;22642;7,60 m;Baja Definitiva (desde el 06/05/2002);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/10465;Madera;3AL-2-1-93;ADRIAN SEGUNDO;35,30 kW (48,0 CV);34200 - Algeciras, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;0,00;ESP000013057;;PALANGRE DE SUPERFICIE CALADERO NACIONAL;13057;21,30 m;Baja Definitiva (desde el 11/04/1994);-;EA7735;;Madera;3AL-2-1727;AGUADO MARTIN;316,26 kW (430,0 CV);34200 - Algeciras, CÁDIZ (ANDALUCÍA);
Secretaría General de Pesca;10/05/1989;3,57;ESP000021120;;ARTES MENORES EN EL MEDITERRANEO;21120;8,88 m;Alta Definitiva (desde el 11/02/2021);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/9108;Madera;3AL-2-1776;ALBA Y MANUEL;19,37 kW (26,3 CV);41500 - Velez-Malaga, MÁLAGA (ANDALUCÍA);
Secretaría General de Pesca;25/07/1996;1,74;ESP000023247;;ARTES MENORES EN EL MEDITERRANEO;23247;6,38 m;Alta Definitiva (desde el 17/01/2025);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/11051;Madera;3AL-2-2-95;ALEJANDRA;11,76 kW (16,0 CV);34300 - La Linea de la Concepción, CÁDIZ (ANDALUCÍA);
Galicia;16/10/2006;56,00;-;;;26786;18,95 m;Alta Definitiva (desde el 09/04/2007);-;EA9207;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/14548;Acero;4AL-2-1-06;ALGAZUL UNO;330,97 kW (450,0 CV);23210 - Cabo de Cruz - Boiro, A CORUÑA (GALICIA);Auxiliar de cultivos marinos
Secretaría General de Pesca;29/04/1997;19,53;ESP000023479;;ARTES MENORES EN EL MEDITERRANEO;23479;13,10 m;Baja Definitiva (desde el 25/05/2007);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/11279;Madera;3AL-2-2-96;ALMUDENA DEL MAR;69,87 kW (95,0 CV);34200 - Algeciras, CÁDIZ (ANDALUCÍA);
