CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
POL023200132;;POL;;;136.00;0.00;0.00;;25.77;23.42;<NO NAME GIVEN>;PL00132;DAR-305;;;Y;SPK2175;N;;;;;FX;;OTB, OTM;419.20;0.00;Metal;;1979-07-24;MFL;1979-01-01;2005-09-09;
POL023200139;;POL;;;136.00;0.00;0.00;;25.76;23.42;<NO NAME GIVEN>;PL00139;DAR-308;;;Y;SPK2028;N;;;;;FX;;OTM, OTB;419.20;0.00;Metal;;1979-06-30;MFL;1979-01-01;2005-08-10;
POL023200144;;POL;;;102.00;0.00;0.00;;24.52;22.33;<NO NAME GIVEN>;PL00144;DAR-161;;;Y;SPK2164;N;;;;;FX;;OTB, OTM;257.40;0.00;Metal;;1974-12-20;MFL;1974-01-01;2006-07-14;
POL023200151;261015270;POL;;;145.00;0.00;0.00;;25.87;23.42;No name;PL00151;HEL-156;Hel;;Y;SPS2748;Y;Y;Y;7606891;;FX;;OTM, LLS, PTB, PTM, OTB;419.00;61.00;Metal;;1977-01-12;MFL;1976-01-01;;
POL023200153;;POL;;;95.00;106.52;0.00;;24.50;22.33;<NO NAME GIVEN>;PL00153;DAR-169;;;Y;SPK2170;Y;;;;;FX;;GNS, OTB;257.40;0.00;Metal;;1976-12-22;MFL;1975-01-01;;2008-01-03
POL023200189;;POL;;;136.00;0.00;0.00;;25.73;23.42;<NO NAME GIVEN>;PL00189;DAR-307;;;Y;SPK2245;N;;;;;FX;;OTB, OTM;419.20;0.00;Metal;;1980-04-30;MFL;1980-01-01;2005-03-14;
POL023200193;;POL;;;94.00;106.37;0.00;;24.50;22.33;<NO NAME GIVEN>;PL00193;DAR-170;;;Y;SPK2165;N;;;;;FX;;OTB, OTM;257.40;0.00;Metal;;1976-01-02;MFL;1975-01-01;2005-04-27;
POL023200597;261026220;POL;;;5.10;0.00;0.00;;7.90;7.07;No name;PL00597;DAR-6;Darłowo;;Y;SPS2587;N;N;Y;;;FX;;GNS, LHP, FPO, FYK, LLS, LLD;43.20;0.00;Metal;;1988-12-31;MFL;1988-01-01;;
POL023200600;;POL;;;36.00;42.00;0.00;;17.05;15.21;;PL00600;DAR-1;;;Y;SPK2007;Y;N;N;;;FX;;GNS, PTB, OTM, LLD, OTB, LLS;50.00;1.95;Metal;;1959-02-05;MFL;1958-01-01;2016-12-12;
POL023200602;;POL;;;31.00;35.33;0.00;;17.38;15.14;<NO NAME GIVEN>;PL00602;DAR-2;;;Y;SPK2251;N;;;;;FX;;GND, GNS;121.40;0.00;Metal;;1956-07-19;MFL;1956-01-01;2005-08-17;
POL023200606;;POL;;;32.00;39.63;0.00;;17.78;15.14;<NO NAME GIVEN>;PL00606;DAR-3;;;Y;SPK2017;N;;;;;FX;;GNS, LLS;121.40;0.00;Metal;;1958-01-08;MFL;1957-01-01;2009-11-30;
POL023200672;;POL;;;27.87;27.01;0.00;;14.81;14.06;<NO NAME GIVEN>;PL00672;DAR-7;;;Y;SPK2110;N;;;;;FX;;GNS, LLS;176.60;0.00;Wood;;1961-12-31;MFL;1961-01-01;2009-11-30;
POL023200674;261002430;POL;;;33.00;0.00;0.00;;17.38;15.14;No name;PL00674;DAR-10;Darłowo;;Y;SPK2109;Y;Y;Y;;;FX;;OTB, PTB, LLS, GNS, OTM, LLD;121.00;1.95;Metal;;1958-04-20;MFL;1958-01-01;;
POL023200682;;POL;;;14.42;10.29;0.00;;11.50;9.33;<NO NAME GIVEN>;PL00682;DAR-8;;;Y;SPK2097;N;;;;;FX;;GNS, LLS;95.00;0.00;Wood;;1940-01-01;MFL;1939-01-01;;2012-10-02
POL023200688;;POL;;;5.93;0.00;0.00;;10.70;9.45;No name;PL00688;JAR-41;Jarosławiec;;Y;SPK2344;N;N;N;;;FX;;GNS, LLD, FYK, LLS;70.00;0.00;Metal;;1998-03-01;MFL;1989-01-01;;
POL023200691;;POL;;;11.12;0.00;0.00;;11.94;10.05;No name;PL00691;DAR-13;;;Y;SPG2707;N;N;N;;;FX;;GNS, LLS, LLD;110.40;0.00;Fiber/Plastic;;1977-06-07;MFL;1957-01-01;;
POL023200697;;POL;;;10.22;0.00;0.00;;11.40;9.22;No name;PL00697;UST-103;;;Y;SPG2699;N;N;N;;;GO;;GNS, LLS, LLD;70.00;0.00;Wood;;1975-09-01;MFL;1972-01-01;;
POL023200698;;POL;;;32.00;39.25;0.00;;17.78;15.14;;PL00698;DAR-15;;;Y;SPK2107;Y;N;N;;;FX;;GNS, LLS, OTB, LLD, PTB;50.00;1.95;Metal;;1958-09-13;MFL;1958-01-01;2016-12-05;
POL023200724;261002770;POL;;;40.00;50.49;0.00;;17.93;15.55;No name;PL00724;UST-208;Ustka;;Y;SPK2118;N;Y;Y;;;FX;;GNS, OTM, LLD, OTB, LLS;202.00;12.00;Metal;;1991-05-27;MFL;1967-01-01;;2024-06-24
POL023200725;;POL;;;35.00;39.23;0.00;;17.77;15.14;<NO NAME GIVEN>;PL00725;DAR-20;;;Y;SPK2018;N;;;;;FX;;GNS, OTB;121.40;0.00;Metal;;1958-06-21;MFL;1958-01-01;2005-01-19;
POL023200730;;POL;;;31.00;37.42;0.00;;17.38;15.14;;PL00730;DAR-16;;;Y;SPK2094;Y;N;N;;;FX;;GNS, LLS, LLD;50.00;1.95;Metal;;1990-07-26;MFL;1952-01-01;2016-12-05;
