CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
BGR001023363;;BGR;;;0.60;0.00;0.00;;5.90;0.00;ВН3363;3363;ВН3363;Varna;;N;;N;N;N;;;FX;;LHM;2.20;0.00;Wood;;1964-01-01;MFL;1964-01-01;;2009-06-19
BGR001023373;;BGR;;;0.90;0.00;0.00;;6.30;0.00;ВН3373;3373;ВН3373;Varna;;N;;N;N;N;;;FX;;GNS;7.36;0.00;Wood;;2001-04-11;MFL;1980-01-01;;2016-01-14
BGR001023374;;BGR;;;0.72;0.00;0.00;;5.60;0.00;ВН3374;3374;ВН3374;Varna;;N;;N;N;N;;;FX;;GNS;3.68;0.00;Wood;;1990-03-01;MFL;1970-01-01;;2022-10-18
BGR001023375;;BGR;;;0.97;0.00;0.00;;6.75;0.00;ВН3375;3375;ВН3375;Varna;;N;;N;N;N;;;FX;;GNS;16.18;0.00;Wood;;1985-03-27;MFL;1971-01-01;;2014-02-05
BGR001023376;;BGR;;;0.61;0.00;0.00;;4.50;0.00;ВН3376;3376;ВН3376;Varna;;N;;N;N;N;;;FX;;GNS, GND;0.00;0.00;Other;;1997-01-01;MFL;1997-01-01;;
BGR001023378;;BGR;;;0.72;0.00;0.00;;6.20;0.00;ВН3378;3378;ВН3378;Varna;;N;;N;N;N;;;FX;;GNS;0.00;0.00;Wood;;2003-04-18;MFL;1964-01-01;;2009-06-19
BGR001023380;;BGR;;;0.88;0.00;0.00;;6.00;0.00;ВН3380;3380;ВН3380;Varna;;N;;N;N;N;;;FX;;GNS;20.00;0.00;Wood;;1993-04-28;MFL;1972-01-01;;2009-06-19
BGR001023386;;BGR;;;3.68;0.00;0.00;;8.20;0.00;Вн3386;3386;Вн3386;Varna;;N;;N;N;N;;;FX;;GNS;33.10;0.00;Wood;;1985-04-04;MFL;1968-01-01;;2009-06-19
BGR001023393;;BGR;;;8.49;0.00;0.00;;10.50;0.00;ВН3393;3393;ВН3393;Varna;;N;;N;N;N;;;FX;;GNS, LLD;43.40;0.00;Wood;;1985-03-06;MFL;1948-01-01;2013-05-08;
BGR001023394;;BGR;;;2.84;0.00;0.00;;7.40;0.00;ВН3394;3394;ВН3394;Varna;;N;;N;N;N;;;FX;;GNS, FPO;33.10;0.00;Fiber/Plastic;;1985-01-01;MFL;1985-01-01;;2014-01-17
BGR001023400;;BGR;;;2.62;0.00;0.00;;7.40;7.20;ПР 751;751;ПР 751;Primorsko;;N;;N;N;N;;;FX;;GNS, FPO;33.10;0.00;Fiber/Plastic;;1996-08-04;MFL;1996-01-01;;
BGR001023403;;BGR;;;1.46;0.00;0.00;;7.00;0.00;ВН3403;3403;ВН3403;Varna;;N;;N;N;N;;;FX;;GNS, GND;8.83;0.00;Wood;;1991-01-01;MFL;1991-01-01;;2022-08-24
BGR001023415;;BGR;;;0.82;0.00;0.00;;6.00;0.00;ВН3415;3415;ВН3415;Varna;;N;;Y;N;N;;;FX;;GNS, GND;4.41;0.00;Wood;;1994-12-07;MFL;1994-01-01;;2023-12-19
BGR001023416;;BGR;;;0.56;0.00;0.00;;5.70;0.00;ВН3416;3416;ВН3416;Varna;;N;;N;N;N;;;FX;;GNS, GND;3.68;0.00;Wood;;1985-03-19;MFL;1967-01-01;;2016-01-14
BGR001023418;;BGR;;;0.50;0.00;0.00;;5.20;0.00;ВН3418;3418;ВН3418;Varna;;N;;N;N;N;;;FX;;GNS, GND;4.05;0.00;Wood;;1960-01-01;MFL;1960-01-01;;2011-06-29
