CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
FIN000100796;;FIN;;;0.63;0.00;0.00;;5.10;0.00;FIN-379-V;FIN-379-V;FIN-379-V;Vaasa;;N;;N;;;;;FX;;GNS;14.71;0.00;Fiber/Plastic;;1991-01-01;MFL;1991-01-01;;2012-03-13
FIN000100797;;FIN;;;4.71;0.00;0.00;;8.40;0.00;FIN-3790-V;FIN-3790-V;FIN-3790-V;Vaasa;;N;;N;;;;;FX;;GNS, NO;5.44;0.00;Fiber/Plastic;;1982-07-03;MFL;1982-01-01;;2004-08-26
FIN000100798;;FIN;;;1.39;0.00;0.00;;6.15;0.00;KALAVENE 20;FIN-3791-V;FIN-3791-V;Vaasa;;N;;N;;;;;FX;;GNS, FPO;22.07;0.00;Fiber/Plastic;;1991-01-01;4L1;1991-01-01;;1997-02-03
FIN000100799;;FIN;;;0.62;0.00;0.00;;4.80;0.00;-;FIN-3792-V;FIN-3792-V;Vaasa;;N;;N;N;N;;;WO;;FYK, GNS;14.90;0.00;Fiber/Plastic;;1991-12-31;MFL;1991-12-31;;2024-11-15
FIN000100800;;FIN;;;3.26;0.00;0.00;;8.00;0.00;FIN-3793-V;FIN-3793-V;FIN-3793-V;Vaasa;;N;;N;;;;;FX;;GNS;40.50;0.00;Fiber/Plastic;;1990-01-01;MFL;1990-01-01;;2011-09-30
FIN000100801;;FIN;;;1.01;0.00;0.00;;5.25;0.00;MS. ALBERTINA;FIN-3794-V;FIN-3794-V;Vaasa;;N;;N;;;;;FX;;GNS;7.00;0.00;Wood;;1985-01-01;F23;1985-01-01;;1996-10-22
FIN000100802;;FIN;;;1.01;0.00;0.00;;5.20;0.00;FIN-3795-V;FIN-3795-V;FIN-3795-V;Vaasa;;N;;N;;;;;FX;;GNS, NO;40.00;0.00;Fiber/Plastic;;1993-01-01;4L1;1993-01-01;;2000-11-23
FIN000100803;;FIN;;;0.62;0.00;0.00;;4.60;0.00;FIN-3796-V;FIN-3796-V;FIN-3796-V;Vaasa;;N;;N;;;;;FX;;GNS, NO;14.71;0.00;Metal;;1994-01-01;MFL;1994-01-01;;2006-10-12
FIN000100804;;FIN;;;5.35;0.00;0.00;;8.60;0.00;SAFIRA;FIN-31607-V;FIN-31607-V;Vaasa;;N;;N;;;;;FX;;GNS, FPO;162.00;0.00;Fiber/Plastic;;1987-01-01;MFL;1987-01-01;;
FIN000100805;;FIN;;;1.74;0.00;0.00;;8.00;0.00;HOFF;FIN-3798-V;FIN-3798-V;Vaasa;;N;;N;;;;;FX;;GNS, NO;82.00;0.00;Fiber/Plastic;;1981-05-07;4L1;1981-01-01;;2000-06-30
FIN000100806;;FIN;;;0.87;0.00;0.00;;4.00;0.00;FIN-3799-V;FIN-3799-V;FIN-3799-V;Vaasa;;N;;N;;;;;FX;;GNS, FPO;11.03;0.00;Fiber/Plastic;;1985-01-01;MFL;1985-01-01;;2010-04-20
FIN000100807;;FIN;;;10.15;0.00;0.00;;11.15;0.00;VIGGEN;FIN-38-V;FIN-38-V;Vaasa;;Y;OF7557;N;;;;;FX;;FPO, LLD;69.87;0.00;Wood;;1970-08-30;MFL;1970-01-01;;2015-04-20
FIN000100808;;FIN;;;5.07;0.00;0.00;;8.00;0.00;BELLA II;FIN-380-V;FIN-380-V;Vaasa;;Y;OG3850;N;;;;;FX;;GNS;94.14;0.00;Fiber/Plastic;;1988-05-30;MFL;1988-01-01;;2012-03-13
FIN000100809;;FIN;;;2.19;0.00;0.00;;7.00;0.00;FIN-3800-V;FIN-3800-V;FIN-3800-V;Vaasa;;N;;N;;;;;FX;;GNS, NO;24.27;0.00;Wood;;1976-05-02;MFL;1976-01-01;;2012-03-13
FIN000100810;;FIN;;;1.26;0.00;0.00;;6.20;0.00;FIN-3801-V;FIN-3801-V;FIN-3801-V;Vaasa;;N;;N;;;;;FX;;GNS, NO;8.83;0.00;Wood;;1975-01-01;4L1;1975-01-01;;1999-02-02
FIN000100811;;FIN;;;0.86;0.00;0.00;;5.50;0.00;PEKKA;FIN-3802-V;FIN-3802-V;Vaasa;;N;;N;;;;;FX;;GNS;14.71;0.00;Fiber/Plastic;;1986-05-01;MFL;1986-01-01;;
FIN000100812;;FIN;;;0.66;0.00;0.00;;4.65;0.00;;;FIN-3803-V;Vaasa;;N;;N;N;N;;;GO;;GNS, NK;14.71;0.00;Fiber/Plastic;;1992-05-16;MFL;1992-05-16;;2021-11-10
FIN000100813;;FIN;;;0.71;0.00;0.00;;4.90;0.00;FIN-3804-V;FIN-3804-V;FIN-3804-V;Vaasa;;N;;N;;;;;FX;;GNS;14.71;0.00;Fiber/Plastic;;1988-01-01;4L1;1988-01-01;;1998-05-04
FIN000100814;;FIN;;;0.77;0.00;0.00;;4.90;0.00;FIN-3805-V;FIN-3805-V;FIN-3805-V;Vaasa;;N;;N;;;;;FX;;GNS;15.00;0.00;Fiber/Plastic;;1978-01-01;4L1;1978-01-01;;1997-12-22
