CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
PRT000019420;263356000;PRT;;;39.00;0.00;0.00;;18.45;15.48;TÂNIA FILIPE;PTPDV-113702-C;PTPDV-113702-C;Povoa De Varzim;;Y;CUBV2;Y;Y;Y;;;MOX;;GNS, GTR;187.00;0.00;Wood;;1991-08-01;MFL;1991-01-01;;
PRT000019421;263279000;PRT;;;237.00;169.50;0.00;;28.00;24.86;ZODIACO;A-3336-C;A-3336-C;Aveiro;;Y;CUUX;Y;Y;Y;9057343;;TTW;;OTB, NO;588.00;0.00;Metal;;1992-11-24;MFL;1992-01-01;;
PRT000019422;;PRT;;;265.00;209.85;0.00;;30.00;26.59;VELA;A-3586-N;A-3586-N;Finland;;Y;CUEB;Y;;;;;FX;;OTB, NO;519.00;0.00;Fiber/Plastic;;1992-08-18;MFL;1992-01-01;;
PRT000019423;;PRT;;;8.82;12.48;0.00;;11.37;10.21;MARZE;S-2040-C;S-2040-C;;;Y;CUKN8;N;;;;;FX;;GNS, GTR;67.86;0.00;Wood;;1992-09-28;MFL;1992-01-01;2006-01-11;
PRT000019424;;PRT;;;14.00;14.56;0.00;;12.10;10.38;TREVOMAR;L-2006-C;L-2006-C;Finland;;Y;CQGB6;N;;;;;FX;;GNS, DRB;103.00;0.00;Wood;;1992-06-30;B15;1992-01-01;;1995-09-21
PRT000019425;263434570;PRT;;;10.00;9.70;0.00;;10.15;8.56;POMBALINO;PTVRE-113797-C;PTVRE-113797-C;Vila Real De Santo António;;Y;CURL2;N;N;Y;;;MOX;;GTR, FPO;68.00;0.00;Fiber/Plastic;;1992-08-10;MFL;1992-01-01;;
PRT000019426;;PRT;;;0.75;1.33;0.00;;5.74;0.00;MARA CLAUDIA;A-3335-L;A-3335-L;Finland;;N;;N;;;;;FX;;GTR, NO;7.30;7.30;Fiber/Plastic;;1992-10-30;MFL;1992-01-01;;2016-01-29
PRT000019427;;PRT;;;2.38;3.67;0.00;;7.94;0.00;MARIA HELENA;A-3339-L;A-3339-L;Finland;;N;;N;;;;;FX;;GTR, NO;22.00;0.00;Wood;;1992-10-30;B15;1987-01-01;1994-12-23;
PRT000019428;;PRT;;;0.52;0.94;0.00;;4.68;0.00;SOLITARIO;A-3333-L;A-3333-L;Aveiro;;N;;N;N;N;;;MOX;;GTR, LHP;7.38;0.00;Fiber/Plastic;;1992-10-30;MFL;1992-01-01;2025-03-03;
PRT000019429;;PRT;;;0.63;0.99;0.00;;4.47;0.00;PAULIPE;AL-493-L;AL-493-L;Albufeira;;N;;N;N;N;;;MOX;;FPO, LHP;6.00;0.00;Fiber/Plastic;;1992-10-15;MFL;1979-01-01;;
PRT000019430;;PRT;;;0.75;1.40;0.00;;5.40;0.00;PRAIA DA OURA;AL-492-L;AL-492-L;;;N;;N;;;;;FX;;FPO, NO;29.42;0.00;Fiber/Plastic;;1992-08-17;4K1;1991-01-01;2001-03-30;
PRT000019431;;PRT;;;0.82;1.55;0.00;;5.05;0.00;CATARINA;CS-733-L;CS-733-L;Cascais;;N;;N;N;N;;;MOX;;LLS, NO;11.00;0.00;Wood;;1992-08-25;MFL;1992-01-01;;
