CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
MLT00MFA0422;;MLT;;;0.76;0.00;0.00;;4.35;0.00;Not Named;MFA0422;MFA422;Mgarr;;N;;N;N;N;;;MO;;GTR, GNS;14.91;0.00;Wood;;2003-05-08;MFL;1958-01-01;;
MLT00MFA0423;;MLT;;;2.61;0.00;0.00;;6.71;0.00;ANTONIA II;MFB8423;MFB8423;St. Paul'S Bay (Xemxija);;Y;9H7842;N;N;N;;;MO;;LA, LLS;72.34;72.34;Fiber/Plastic;;2003-04-01;MFL;1994-01-01;;
MLT00MFA0424;;MLT;;;1.72;0.00;0.00;;5.50;0.00;San Gorg;MFA0424;MFA424;Xlendi;;Y;9HB2708;N;N;N;;;MO;;LLS, FPO;72.52;72.52;Wood;;2003-06-14;MFL;2002-01-01;;
MLT00MFA0425;;MLT;;;7.67;0.00;0.00;;9.95;0.00;Francesca X;MFA0425;MFA425;Mgarr;;Y;9H7415;N;N;N;;;MO;;LA, LLS;228.00;125.00;Fiber/Plastic;;2003-09-10;MFL;2003-01-01;;
MLT00MFA0426;;MLT;;;1.75;0.00;0.00;;5.35;0.00;Pipi;MFB8426;MFB8426;Mgarr;;Y;9H9021;N;N;N;;;MO;;FPO, GTR;65.00;0.00;Fiber/Plastic;;2003-04-02;MFL;2003-01-01;;
MLT00MFA0427;;MLT;;;3.24;0.00;0.00;;6.70;0.00;Lady M;MFA0427;MFA427;Mgarr;;Y;9H7918;N;N;N;;;MO;;GTR, GNS;138.00;48.49;Fiber/Plastic;;2003-04-12;MFL;2003-01-01;;
MLT00MFA0428;;MLT;;;4.06;0.00;0.00;;8.65;0.00;Santa Maria I;MFA0428;MFA428;Marsaxlokk (Ix-Xatt);;Y;9H7484;N;N;N;;;MO;;GTR, LA;85.30;85.30;Fiber/Plastic;;2003-04-12;MFL;2003-01-01;;
MLT00MFA0429;;MLT;;;10.51;0.00;0.00;;11.25;0.00;SERACINA;MFA0429;MFA429;Il-Vecca;;Y;9H7862;Y;Y;N;;;MO;;LLS, LLD;199.00;199.00;Fiber/Plastic;;2003-12-31;MFL;2003-01-01;;
MLT00MFA0431;;MLT;;;12.99;0.00;0.00;;14.30;0.00;Bertina II;MFA7237;MFA7237;Marsaxlokk (Ix-Xatt);;Y;9H7416;Y;Y;N;;;MO;;LA, LLS;220.00;215.00;Fiber/Plastic;;2017-07-24;MFL;2003-01-01;;
MLT00MFA0432;;MLT;;;0.69;0.00;0.00;;5.00;0.00;Marie Dolores;MFA0432;MFA432;Marsalforn;;Y;9H7922;N;N;N;;;MO;;LLS, GTR;63.41;0.00;Fiber/Plastic;;2003-04-12;MFL;2003-01-01;;
MLT00MFA0480;;MLT;;;1.16;0.00;0.00;;6.15;0.00;PRANA 5;MFB8480;MFB8480;Birzebbuga (St George''S Bay);;Y;9H4356;N;Y;N;;;MO;;LLS, LTL;34.21;17.70;Wood;;1985-01-01;MFL;1948-01-01;;
MLT00MFA0502;;MLT;;;8.89;0.00;0.00;;11.50;0.00;Green Pepper;MFA7502;MFA7502;Marsaxlokk (Il-Maghluq);;Y;9H7672;Y;N;N;;;MO;;LLD, LLS;130.00;56.00;Wood;;2003-08-19;MFL;2003-01-01;;
MLT00MFA0503;;MLT;;;1.15;0.00;0.00;;5.32;0.00;Charet;MFA0503;MFA503;St. Julians Bay;;Y;9H7905;N;N;N;;;MO;;LLS;16.41;7.46;Wood;;2003-08-25;MFL;2003-01-01;;2013-08-12
MLT00MFA0504;;MLT;;;1.07;0.00;0.00;;5.00;0.00;Elena;MFA0504;MFA504;Marsaxlokk (Ix-Xatt);;Y;9HB2709;N;N;N;;;MO;;LTL, GNS;23.50;7.30;Fiber/Plastic;;2003-04-02;MFL;2003-01-01;;
MLT00MFA0505;;MLT;;;0.88;0.00;0.00;;4.90;0.00;Coltes;MFB8505;MFB8505;Salina;;Y;9H7917;N;N;N;;;MO;;LLS, LTL;33.57;7.46;Fiber/Plastic;;2003-04-02;MFL;2003-01-01;;
MLT00MFA0506;;MLT;;;5.76;0.00;0.00;;9.00;0.00;Davesteve I;MFA0506;MFA506;Msida (Msida Creek);;Y;9H7439;N;N;N;;;MO;;LLD, LLS;177.00;177.00;Fiber/Plastic;;2003-04-02;MFL;2003-01-01;;
MLT00MFA0509;;MLT;;;3.37;0.00;0.00;;7.75;0.00;Andrea Gail I;MFB8509;MFB8509;Marsaxlokk (Ix-Xatt);;Y;9H7874;N;N;N;;;MO;;GTR, FPO;89.52;48.49;Wood;;2003-04-18;MFL;2003-01-01;;2022-02-14
MLT00MFA0510;;MLT;;;4.65;0.00;0.00;;7.65;0.00;Benjamina;MFA0510;MFA510;Il-Vecca;;Y;9H7938;N;N;N;;;MO;;LLS, LLD;157.00;0.00;Fiber/Plastic;;2003-12-31;MFL;2003-01-01;;
MLT00MFA0512;;MLT;;;9.21;0.00;0.00;;11.97;0.00;Madonna tal-Ahrax I;MFA0512;MFA512;Marsaxlokk (Il-Maghluq);;Y;9H7464;N;Y;N;;;MO;;LLD;201.42;201.42;Fiber/Plastic;;2003-04-02;MFL;2002-01-01;;
MLT00MFA0513;;MLT;;;20.55;0.00;0.00;;13.83;0.00;Maria Assunta II;MFA0513;MFA513;St. Paul'S Bay (Xemxija);;Y;9H7432;N;Y;N;;;MO;;LLS, LLD;205.00;205.00;Fiber/Plastic;;2003-08-13;MFL;2003-01-01;;
MLT00MFA0514;;MLT;;;11.40;0.00;0.00;;11.90;0.00;Ta' Cikku;MFA0514;MFA514;Marsaxlokk (Kavallerizza);;Y;9H7421;Y;N;N;;;MO;;LLD, LLS;156.00;167.10;Fiber/Plastic;;2003-04-02;MFL;2003-01-01;;
MLT00MFA0515;;MLT;;;104.00;0.00;0.00;;27.29;0.00;TA  MATTEW;MFA0515;MFA515;Marsaxlokk (Ix-Xatt);;Y;9H8203;Y;Y;N;;;FX;;PS, LLD;671.40;0.00;Fiber/Plastic;;2003-09-05;MFL;2003-01-01;;2023-04-04
MLT00MFA0516;;MLT;;;2.38;0.00;0.00;;7.20;0.00;Not Named;MFA0516;MFA516;Marsaxlokk (Ix-Xatt);;N;;N;N;N;;;MO;;LTL, NK;74.60;0.00;Other;;2003-12-31;MFL;2003-01-01;2007-03-22;
MLT00MFA0517;;MLT;;;13.47;0.00;0.00;;13.00;0.00;Not Named;MFC5517;MFC5517;Marsaxlokk (Ix-Xatt);;N;;N;N;N;;;MO;;LTL, NK;74.60;0.00;Other;;2003-12-31;MFL;2003-01-01;;2008-03-07
MLT00MFA0518;;MLT;;;12.00;0.00;0.00;;16.10;0.00;Santu Wistin;MFA0518;MFA518;Sliema (Sliema Creek);;N;;N;N;N;;;MO;;LTL, NK;113.00;0.00;Wood;;2003-12-31;MFL;2003-01-01;;2008-11-06
MLT00MFA0519;;MLT;;;8.48;0.00;0.00;;10.95;0.00;CB/6;MFA0519;MFA519;Sliema (Sliema Creek);;N;;N;N;N;;;MO;;LTL, NK;34.00;0.00;Wood;;2003-12-31;MFL;2003-01-01;;2008-11-06
MLT00MFA0520;;MLT;;;3.55;0.00;0.00;;8.50;0.00;Sour Faustina;MFA0520;MFA520;Sliema (Sliema Creek);;N;;N;N;N;;;MO;;LTL, NK;32.00;0.00;Wood;;2003-12-31;MFL;2003-01-01;;2008-11-06
MLT00MFA0521;;MLT;;;35.07;0.00;0.00;;18.61;0.00;Rosabelle;MFA0521;MFA521;Sliema (Sliema Creek);;N;;N;N;N;;;MO;;LTL, NK;334.50;0.00;Wood;;2003-12-31;MFL;2003-01-01;;2008-11-06
MLT00MFA0522;;MLT;;;1.55;0.00;0.00;;5.85;0.00;PICCOLO GABRIELE;MFA0522;MFA522;Marsaxlokk (Ix-Xatt);;N;;N;N;N;;;MO;;LLS, LTL;18.30;0.00;Fiber/Plastic;;2003-04-02;MFL;1988-01-01;;
MLT00MFA0565;;MLT;;;3.10;0.00;0.00;;7.62;0.00;Luigi Padre;MFC8565;MFC8565;Il-Vecca;;Y;9H2973;N;N;N;;;MO;;LLS, FPO;47.07;72.81;Wood;;1964-01-01;MFL;1963-01-01;;2022-05-12
MLT00MFA0708;;MLT;;;6.42;0.00;0.00;;9.40;0.00;Sky High;MFC8709;MFC8709;Il-Vecca;;Y;9H3036;N;N;N;;;MO;;LLS, LLD;123.09;179.04;Wood;;1978-01-01;MFL;1978-01-01;;2022-05-12
MLT00MFA0870;;MLT;;;8.82;0.00;0.00;;11.00;0.00;St. Catherine;MFA0870;MFA870;Marsaxlokk (Ix-Xatt);;Y;9H4054;N;N;N;;;MO;;LLS, LLD;85.79;85.79;Wood;;1992-01-01;MFL;1992-01-01;;
MLT00MFA1004;;MLT;;;196.76;0.00;0.00;;37.70;0.00;Uragano;MFA1004;MFA1004;Valletta (Grand Harbour);;Y;9H7459;Y;N;N;;;TO;;OTB, NO;369.27;0.00;Metal;;1981-01-01;MFL;1972-01-01;2014-12-03;
MLT00MFA1032;;MLT;;;3.95;0.00;0.00;;8.55;0.00;Dom Anthony;MFA1032;MFA1032;Marsaxlokk (Ix-Xatt);;Y;9H5935;N;N;N;;;MO;;LLS, GTR;87.50;115.10;Wood;;1970-01-01;MFL;1970-01-01;;
MLT00MFA1101;;MLT;;;120.82;0.00;0.00;;25.50;0.00;Gatto II/Ruggiero I;MFA1101;MFA1101;Senglea (Dockyards Creek);;Y;9H;N;N;N;;;TO;;OTB, NK;410.30;0.00;Other;;1994-09-30;MFL;1994-01-01;2009-03-25;
MLT00MFA1130;;MLT;;;3.09;0.00;0.00;;7.95;0.00;Dellimara;MFA1130;MFA1130;Marsaxlokk (Ix-Xatt);;Y;9H3729;N;N;N;;;MO;;LLS, LA;82.10;82.10;Wood;;1964-01-01;MFL;1964-01-01;;
MLT00MFA1133;;MLT;;;1.18;0.00;0.00;;5.00;0.00;Not Named;MFC5135;MFC5135;Marsalforn;;Y;9H6040;N;N;N;;;MO;;LLS, LLD;64.00;0.00;Fiber/Plastic;;1997-07-15;MFL;1996-01-01;;2020-04-29
MLT00MFA1197;;MLT;;;1.22;0.00;0.00;;5.52;0.00;NOT NAMED;MFC8198;MFC8198;Mgarr;;Y;9H7017;N;N;N;;;MO;;GNS, LHP;70.87;41.00;Wood;;1984-01-01;MFL;1984-01-01;;
MLT00MFA1202;;MLT;;;1.94;0.00;0.00;;6.65;0.00;TAS-SIX;MFC5202;MFC5202;Marsaxlokk (Il-Maghluq);;Y;9H4477;N;N;N;;;MO;;LLS, FPO;26.00;52.00;Wood;;1966-01-01;MFL;1966-01-01;;
MLT00MFA1229;;MLT;;;6.93;0.00;0.00;;9.45;0.00;MADONNA TAL-GRAZZJA III;MFA8229;MFA8229;Ta' Xbiex (Msida Creek);;Y;9H4204;N;N;N;;;MO;;LLS, LLD;156.66;156.66;Fiber/Plastic;;2002-06-29;MFL;1992-01-01;;
MLT00MFA1262;;MLT;;;2.34;0.00;0.00;;6.10;0.00;SHARON;MFA1262;MFA1262;Marsaxlokk (Kavallerizza);;Y;9H2927;N;N;N;;;MO;;LLS, LLD;37.30;37.30;Wood;;1985-01-01;MFL;1985-01-01;;2008-02-12
MLT00MFA1264;;MLT;;;5.67;0.00;0.00;;9.14;0.00;Qawsalla;MFB8264;MFB8264;Marsascala;;Y;9H2001;N;N;N;;;MO;;LLD, FPO;59.68;59.68;Wood;;1982-06-06;MFL;1982-01-01;2018-02-16;
MLT00MFA1297;;MLT;;;2.79;0.00;0.00;;7.30;0.00;Indri;MFA1297;MFA1297;Marsaxlokk (Ix-Xatt);;Y;9H7350;N;N;N;;;MO;;GTR, LLS;100.00;24.62;Wood;;1955-01-01;MFL;1955-01-01;;
