CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
ITA000016341;;ITA;;;35.00;30.42;0.00;;18.20;14.39;TIMPANO;08TP00295;08TP00295;Castellammare Del Golfo;;Y;I.T.T.K;N;;;;;FX;;OTB, PS;205.94;0.00;Wood;;1979-12-01;4H4;1951-01-01;;1999-04-01
ITA000016342;;ITA;;;1.00;2.56;0.00;;6.56;5.92;SAN FRANCESCO DI PAOLA;08TP00296;08TP00296;Castellammare Del Golfo;;Y;IKKG2;N;N;N;;;FX;;PS, LLS;22.10;0.00;Wood;;1980-05-30;MFL;1961-01-01;;
ITA000016343;;ITA;;;1.00;1.41;0.00;;5.00;4.55;ANTONINA MADRE;08TP00299;08TP00299;Castellammare Del Golfo;;N;;N;;;;;FX;;PS, LLS;10.20;0.00;Wood;;1980-11-17;MFL;1979-01-01;2014-11-12;
ITA000016344;;ITA;;;1.00;2.42;0.00;;6.25;0.00;SALVATORE;08TP00300;08TP00300;Castellammare Del Golfo;;N;;N;;;;;FX;;PS, LLS;14.70;0.00;Wood;;1981-01-09;MFL;1980-01-01;2014-11-12;
ITA000016345;;ITA;;;1.00;1.28;0.00;;4.94;4.54;LUANA;00MV01268;00MV01268;Mazara Del Vallo;;N;;N;;;;;FX;;GNS, NO;4.40;0.00;Wood;;1981-12-07;MFL;1980-01-01;;
ITA000016346;;ITA;;;1.00;2.95;0.00;;7.17;6.54;PICCOLO GAETANO;08TP00305;08TP00305;Castellammare Del Golfo;;N;;N;;;;;FX;;PS, LLS;18.30;0.00;Wood;;1982-05-03;MFL;1975-01-01;;
ITA000016347;;ITA;;;1.00;1.68;0.00;;5.30;5.04;SAN FRANCESCO PRIMO;00TP02162;00TP02162;Trapani;;N;;N;;;;;FX;;LLS, GNS;10.30;0.00;Wood;;1982-11-08;MFL;1981-01-01;;
ITA000016348;;ITA;;;1.00;1.99;0.00;;6.20;5.70;MARIA ROSA;08TP00308;08TP00308;Castellammare Del Golfo;;N;;N;;;;;FX;;LLS, GNS;12.50;0.00;Wood;;1982-11-08;MFL;1981-01-01;;
ITA000016349;;ITA;;;1.00;2.67;0.00;;5.60;5.00;F.MARTINI;03TP00298;03TP00298;Pantelleria;;N;;N;;;;;FX;;LLS, GNS;15.44;0.00;Wood;;1982-11-08;MFL;1981-01-01;;
ITA000016350;;ITA;;;1.00;2.56;0.00;;6.44;5.88;AURORA;08TP00310;08TP00310;Castellammare Del Golfo;;Y;IKKH2;N;;;;;FX;;PS, LLS;14.70;0.00;Wood;;1982-11-08;MFL;1982-01-01;;
ITA000016351;;ITA;;;1.00;2.05;0.00;;6.53;5.82;IMMACOLATA;08TP00312;08TP00312;Castellammare Del Golfo;;Y;IKKK2;N;;;;;FX;;GNS, LHP;14.70;0.00;Wood;;1983-09-23;MFL;1981-01-01;;
ITA000016352;;ITA;;;0.00;2.11;0.00;;6.16;0.00;CORSARO;08TP00334;08TP00334;Castellammare Del Golfo;;N;;N;;;;;FX;;PS, LLS;18.00;0.00;Wood;;1983-09-23;C14;1982-01-01;;1996-05-06
ITA000016353;;ITA;;;1.00;1.71;0.00;;5.75;5.05;FEDERICO;08TP00314;08TP00314;Castellammare Del Golfo;;N;;N;N;N;;;FX;;GNS, LHP;14.00;0.00;Wood;;1983-10-24;MFL;1983-01-01;;
ITA000016354;;ITA;;;0.00;36.02;0.00;;19.50;0.00;ZEUS;03PE00555;03PE00555;Sciacca;;Y;I.N.M.H;N;;;;;FX;;OTB, PS;80.90;0.00;Wood;;1983-11-11;4H4;1956-01-01;1997-10-21;
ITA000016355;;ITA;;;0.00;40.58;0.00;;19.30;0.00;SQUALO;08TP00317;08TP00317;Castellammare Del Golfo;;N;;N;;;;;FX;;OTB, NO;80.90;0.00;Wood;;1984-07-09;C14;1951-01-01;;1994-01-18
ITA000016356;;ITA;;;1.00;2.79;0.00;;6.72;6.12;ANASTASIA SECONDA;08TP00318;08TP00318;Castellammare Del Golfo;;N;;N;;;;;FX;;LLS, GNS;14.70;0.00;Wood;;1984-10-18;MFL;1983-01-01;;
ITA000016359;;ITA;;;2.00;3.34;0.00;;7.65;6.53;GIUSY MARIO;08TP00322;08TP00322;Castellammare Del Golfo;;N;;N;N;N;;;FX;;PS, LLS;14.53;0.00;Wood;;1986-03-21;MFL;1973-01-01;;
ITA000016360;247140920;ITA;;;56.00;52.18;0.00;;20.25;15.75;NUOVA CARA MADRE;00TP02188;00TP02188;Trapani;;Y;IWDS;Y;Y;Y;;;FX;;OTB, NO;219.85;0.00;Wood;;1986-11-20;MFL;1986-01-01;;
ITA000016361;;ITA;;;1.00;1.67;0.00;;5.65;5.10;GRAZIA MISTRETTA;08TP00324;08TP00324;Castellammare Del Golfo;;N;;N;;;;;FX;;GNS, NO;5.80;0.00;Wood;;1987-05-09;MFL;1959-01-01;2012-06-20;
ITA000016362;;ITA;;;1.00;2.86;0.00;;6.70;6.08;ROSA;08TP00325;08TP00325;Castellammare Del Golfo;;Y;IKKJ2;N;;;;;FX;;LLS, GNS;14.30;0.00;Wood;;1987-05-09;MFL;1986-01-01;;
ITA000016363;;ITA;;;1.00;2.10;0.00;;6.06;5.41;STELLA MARINA;08TP00326;08TP00326;Castellammare Del Golfo;;N;;N;N;N;;;FX;;LLS, GNS;10.20;0.00;Wood;;1987-07-10;MFL;1974-01-01;;
ITA000016364;;ITA;;;1.00;1.96;0.00;;6.10;5.62;LAURA I;08TP00327;08TP00327;Castellammare Del Golfo;;Y;IILY2;N;N;N;;;FX;;LLS, GNS;21.60;0.00;Wood;;1987-07-13;MFL;1985-01-01;;
ITA000016365;;ITA;;;15.00;14.81;0.00;;15.35;12.04;MONTECRISTO;00TP02174;00TP02174;Trapani;;N;;N;;;;;FX;;PS, LLS;87.00;0.00;Wood;;1979-07-13;4H4;1975-01-01;2001-01-25;
ITA000016366;;ITA;;;1.00;2.39;0.00;;7.22;6.52;ELENA I;00OS01290;00OS01290;Oristano;;N;;N;N;N;;;FX;;PS, LLS;17.60;0.00;Wood;;1983-04-26;MFL;1982-01-01;;
ITA000016367;;ITA;;;44.00;33.63;0.00;;19.85;16.79;FEDELSONO;03PA00617;03PA00617;Terrasini;;Y;I.M.X.E;N;;;;;FX;;OTB, LLS;88.00;0.00;Wood;;1983-09-29;4H4;1951-01-01;2000-09-26;
ITA000016368;;ITA;;;1.00;1.64;0.00;;5.55;4.90;VIOLA E GRETA;01TP01260;01TP01260;Marsala;;N;;N;N;N;;;FX;;GNS, LHP;10.30;0.00;Wood;;1988-10-04;MFL;1986-01-01;;2025-02-26
ITA000016371;;ITA;;;1.00;1.65;0.00;;5.60;5.00;SAMUELE DIEGO;00CA04155;00CA04155;Cagliari;;N;;N;N;N;;;FX;;LLS, GNS;10.30;0.00;Wood;;1972-07-15;MFL;1972-01-01;;
ITA000016372;;ITA;;;1.00;0.95;0.00;;5.25;4.50;S. MARIA III;01TP01270;01TP01270;Marsala;;N;;N;;;;;FX;;LLS, GNS;7.30;0.00;Wood;;1956-08-16;MFL;1956-01-01;;2013-08-13
ITA000016373;;ITA;;;3.13;3.30;0.00;;7.85;0.00;S. VITO;00TS00007;00TS00007;Trieste;;N;;N;;;;;FX;;GNS, NO;20.50;0.00;Wood;;1977-02-08;MFL;1925-01-01;;2005-03-16
ITA000016374;;ITA;;;2.00;4.11;0.00;;7.68;7.40;TARTARUGA I;00TS00008;00TS00008;Trieste;;Y;IYOE;N;;;;;FX;;LLS, GNS;61.00;0.00;Wood;;1977-02-08;MFL;1976-01-01;2014-10-14;
ITA000016375;;ITA;;;7.00;8.23;0.00;;11.55;10.95;SALVATORE I;00TS00013;00TS00013;Trieste;;Y;IZZI;N;;;;;FX;;PS, GNS;92.00;0.00;Wood;;1963-05-07;MFL;1963-01-01;;
ITA000016376;;ITA;;;3.00;4.12;0.00;;8.52;8.36;FIORELLA;00TS00021;00TS00021;Trieste;;Y;I.P.I.C;N;;;;;FX;;LLS, GNS;22.80;0.00;Wood;;1977-02-26;MFL;1960-01-01;2005-03-09;
ITA000016377;;ITA;;;2.00;2.85;0.00;;7.44;6.95;MAMOLETTA;01MN02223;01MN02223;Grado;;N;;N;;;;;FX;;PS, GNS;47.80;0.00;Wood;;1977-02-28;4H1;1970-01-01;2001-07-26;
ITA000016378;;ITA;;;0.00;4.06;0.00;;8.20;0.00;DALIA;00TS00031;00TS00031;Trieste;;N;;N;;;;;FX;;LLS, GND;22.80;0.00;Wood;;1977-03-07;C22;1960-01-01;;1992-11-03
ITA000016379;;ITA;;;24.00;21.18;0.00;;15.52;14.45;ATENA I;03MN00918;03MN00918;Marano Lagunare;;Y;IJGT;N;;;;;FX;;OTB, PS;204.96;0.00;Wood;;1977-03-09;MFL;1952-01-01;2015-07-27;
ITA000016380;;ITA;;;1.00;2.69;0.00;;6.93;6.68;FRANCESCA I;00TS00037;00TS00037;Trieste;;N;;N;;;;;FX;;LLS, GNS;21.30;0.00;Wood;;1977-03-10;MFL;1970-01-01;;2009-05-05
ITA000016381;;ITA;;;0.00;0.80;0.00;;5.00;0.00;DEA;00TS00039;00TS00039;Trieste;;N;;N;;;;;FX;;LLS, GNS;2.00;0.00;Wood;;1977-03-12;4H4;1940-01-01;;1998-04-29
ITA000016382;;ITA;;;0.00;2.99;0.00;;6.79;0.00;ARRIGO;00TS00042;00TS00042;Trieste;;N;;N;;;;;FX;;GNS, NK;22.00;0.00;Wood;;1977-03-16;C22;1923-01-01;1994-12-20;
ITA000016383;247031130;ITA;;;14.00;9.98;0.00;;11.80;11.60;REBUS;00TS00048;00TS00048;Trieste;;Y;ILYL;N;N;Y;;;FX;;OTB, PS;162.50;0.00;Wood;;1977-03-25;MFL;1975-01-01;;
