CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
DEU404400103;;DEU;;;2.00;3.46;0.00;;7.00;0.00;HAI;BRO1;BRO1;;;N;;N;;;;;FX;;GNS, NO;22.00;0.00;;;1987-04-01;4C1;;;1997-12-11
DEU404410117;;DEU;;;1.00;0.00;0.00;;5.25;0.00;---;ITZ6;ITZ6;;;N;;N;;;;;GO;;GNS, FPO;8.00;0.00;Fiber/Plastic;;1981-04-21;MFL;1981-01-01;;2018-01-15
DEU404420119;;DEU;;;2.00;2.89;0.00;;6.40;0.00;HAUKE;KOL2;KOL2;;;N;;N;;;;;FX;;GNS, NO;16.00;0.00;;;1980-08-20;C19;;;1995-01-31
DEU404430119;;DEU;;;1.00;2.14;0.00;;5.50;0.00;HEIKE;KOL4;KOL4;;;N;;N;;;;;FX;;GNS, NO;8.00;0.00;Fiber/Plastic;;1971-12-31;MFL;1971-01-01;;
DEU404440119;;DEU;;;2.00;3.46;0.00;;7.00;0.00;HELGA;KOL5;KOL5;;;N;;N;;;;;FX;;GNS, FPO;13.00;0.00;Fiber/Plastic;;1971-02-18;MFL;1969-01-01;;2010-11-10
DEU404450119;;DEU;;;1.00;2.63;0.00;;6.10;0.00;STINT;KOL10;KOL10;;;N;;N;;;;;FX;;GNS, FPO;10.00;0.00;Fiber/Plastic;;1980-09-04;MFL;1971-01-01;;2010-11-10
DEU404460119;;DEU;;;2.00;0.00;0.00;;8.00;0.00;MAIKE II;KOL7;KOL7;Kollmar;;N;;N;N;N;;;GO;;FPO, GNS;34.00;0.00;Fiber/Plastic;;1982-08-05;MFL;1982-01-01;;
DEU404470117;;DEU;;;1.00;0.00;0.00;;5.50;0.00;SILKE;NEU51;NEU51;;;N;;N;N;N;;;GO;;GNS, FPO;7.00;0.00;Fiber/Plastic;;1980-09-08;MFL;1970-01-01;;2018-09-03
DEU404480119;;DEU;;;3.00;5.11;0.00;;8.50;0.00;ESPERANZA;SEE1;SEE1;;;N;;N;;;;;FX;;GNS, NO;41.00;0.00;Metal;;1992-01-01;MFL;1985-01-01;;2007-11-27
DEU404490109;;DEU;;;7.00;6.18;0.00;;9.35;0.00;KATRIN;SEE5;SEE5;;;N;;N;;;;;FX;;GNS, NO;26.00;0.00;Metal;;1986-02-01;MFL;1984-01-01;;2009-05-01
DEU404500120;;DEU;;;5.00;5.72;0.00;;9.00;0.00;STURMVOGEL;UET1;UET1;;;N;;N;;;;;FX;;GNS, NK;50.00;0.00;Wood;;1979-06-21;MFL;1979-01-01;;2004-10-04
DEU404510120;;DEU;;;1.00;1.13;0.00;;4.00;0.00;ACHTERUT;UET5;UET5;;;N;;N;;;;;FX;;GNS, NO;4.00;0.00;;;1983-02-08;C19;;;1996-10-21
DEU404520103;;DEU;;;1.00;1.43;0.00;;4.50;0.00;ADLER;KLE1;KLE1;;;N;;N;;;;;FX;;GNS, NO;7.00;0.00;;;1980-09-17;C19;;;1995-01-31
DEU404530120;;DEU;;;1.00;0.00;0.00;;5.85;0.00;ANGUILLA III;HET4;HET4;;;N;;N;N;N;;;GO;;GNS, NO;5.00;0.00;Wood;;1992-01-01;MFL;1992-01-01;;
DEU404540120;;DEU;;;1.00;1.51;0.00;;4.62;0.00;ORION II;WED1;WED1;;;N;;N;;;;;FX;;GNS, NO;7.00;0.00;Fiber/Plastic;;1992-01-01;MFL;1992-01-01;;2003-12-15
DEU404550120;;DEU;;;1.00;0.00;0.00;;4.00;0.00;PUETZ;HAS1;HAS1;;;N;;N;N;N;;;GO;;GNS, NO;26.00;0.00;Fiber/Plastic;;1992-01-01;MFL;1992-01-01;;2019-04-24
DEU404560107;;DEU;;;3.00;4.47;0.00;;7.95;0.00;JETTE;BRU1;BRU1;;;N;;N;;;;;FX;;GNS, TBB;32.00;0.00;Wood;;1989-05-16;MFL;1989-01-01;;2003-11-25
DEU404570107;;DEU;;;2.00;2.99;0.00;;6.50;0.00;BIANCA;FRI2;FRI2;Friedrichskoog;;N;;N;;;;;TUB;;TBB, GNS;37.00;0.00;Wood;;1996-10-21;MFL;1996-01-01;;2003-02-28
DEU404580101;;DEU;;;1.00;1.25;0.00;;4.20;0.00;CHICO;BUES2;BUES2;Büsum;;N;;N;;;;;TUB;;TBB, GNS;15.00;0.00;Metal;;1996-10-21;4CZ;1977-01-01;;2001-12-17
DEU404590101;;DEU;;;1.00;1.02;0.00;;3.80;0.00;STEFAN;BUES1;BUES1;Büsum;;N;;N;;;;;TUB;;TBB, GNS;4.00;0.00;Wood;;1996-10-21;4CZ;1996-01-01;;1999-05-17
DEU404600119;;DEU;;;1.00;2.14;0.00;;5.50;0.00;JAN;KOL12;KOL12;;;N;;N;;;;;FX;;GNS, FPO;10.00;0.00;Wood;;1996-10-21;MFL;1971-01-01;;2008-05-26
DEU404610119;;DEU;;;3.00;4.64;0.00;;8.10;0.00;HAUKE;KOL1;KOL1;;;N;;N;;;;;FX;;GNS, FPO;37.00;0.00;Wood;;1996-10-21;MFL;1996-01-01;;
DEU404620118;;DEU;;;1.00;1.77;0.00;;5.00;0.00;JAN;KAS13;KAS13;;;N;;N;;;;;FX;;GNS, FPO;33.00;0.00;;;1996-10-21;4CZ;;;2000-03-23
