CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
EST120516099;;EST;;;0.33;0.00;0.00;;4.36;4.19;VLH-680;VLH-680;VLH-680;Pedase;;N;;N;N;N;;;GO;;LLS, FPO, GNS;1.50;0.00;Fiber/Plastic;;1988-12-31;MFL;1988-01-01;;
EST120516100;;EST;;;0.43;0.00;0.00;;4.95;4.75;VLD-414;VLD-414;VLD-414;Kakumäe Sadam;;N;;N;N;N;;;WO;;FPO, GNS;11.20;0.00;Fiber/Plastic;;1999-12-31;MFL;1999-01-01;;
EST120516101;;EST;;;0.42;0.00;0.00;;4.40;4.22;VLJ-059;VLJ-059;VLJ-059;Madise;;N;;N;N;N;;;LO;;GNS, FPO, LLS;6.00;0.00;Fiber/Plastic;;2011-12-31;MFL;2011-01-01;;
EST120516102;;EST;;;0.36;0.00;0.00;;4.30;4.13;HSA-653;HSA-653;HSA-653;Meremõisa;;N;;N;N;N;;;WO;;LLS, FPO, GNS;4.00;0.00;Fiber/Plastic;;2002-12-31;MFL;2002-01-01;;
EST120516103;;EST;;;0.51;0.00;0.00;;4.20;4.03;VLH-055;VLH-055;VLH-055;Eru;;N;;N;N;N;;;WO;;FPO, LLS, GNS;7.50;0.00;Fiber/Plastic;;2010-12-31;MFL;2010-01-01;;
EST120517104;;EST;;;0.51;0.00;0.00;;4.12;3.96;VLB-600;VLB-600;VLB-600;Keila-Joa;;N;;N;N;N;;;WO;;NO;25.00;0.00;Metal;;1980-12-17;MFL;1980-01-01;;2014-06-10
EST120517105;;EST;;;0.39;0.00;0.00;;4.30;4.13;HSA-333;HSA-333;HSA-333;Paldiski lossimiskoht;;N;;N;N;N;;;LO;;GNS, LLS, FPO;2.00;0.00;Fiber/Plastic;;1990-12-31;MFL;1990-01-01;;2018-04-27
EST120517106;;EST;;;0.44;0.00;0.00;;4.36;4.19;HSA-102;HSA-102;HSA-102;Kersalu;;N;;N;N;N;;;LO;;LLS, GNS, FPO;2.00;0.00;Fiber/Plastic;;1990-12-31;MFL;1990-01-01;;2022-09-23
EST120518107;;EST;;;0.48;0.00;0.00;;4.47;4.29;VLJ-166;VLJ-166;VLJ-166;Pedase;;N;;N;N;N;;;WO;;LLS, GNS, FPO;12.00;0.00;Fiber/Plastic;;2011-12-31;MFL;2011-01-01;;
EST120518108;;EST;;;0.63;0.00;0.00;;4.40;4.22;HSA-348;HSA-348;HSA-348;Kadapiku-Virve;;N;;N;N;N;;;WO;;LLS, FPO, GNS;6.00;0.00;Fiber/Plastic;;1987-12-31;MFL;1987-01-01;;
EST120518109;;EST;;;0.78;0.00;0.00;;5.40;5.18;AMA-245;AMA-245;AMA-245;Kakumäe Sadam;;N;;N;N;N;;;WO;;FPO, LLS, GNS;15.00;0.00;Wood;;1989-12-31;MFL;1989-01-01;;2019-09-23
EST120518110;;EST;;;0.39;0.00;0.00;;4.36;4.19;HSA-129;HSA-129;HSA-129;Suurpea Sadam;;N;;N;N;N;;;WO;;FPO, GNS, LLS;1.50;0.00;Fiber/Plastic;;1992-12-31;MFL;1992-01-01;;
EST120518111;;EST;;;0.37;0.00;0.00;;4.00;3.84;ASA-390;ASA-390;ASA-390;Lohusalu Sadam;;N;;N;N;N;;;GO;;GNS, NO;6.00;0.00;Fiber/Plastic;;1990-12-31;MFL;1990-01-01;;
EST120518112;;EST;;;0.90;0.00;0.00;;6.00;5.76;HMA-086;HMA-086;HMA-086;Viinistu Sadam;;N;;N;N;N;;;LO;;FPO, GNS, LLS;22.00;0.00;Wood;;1995-12-31;MFL;1995-01-01;;
EST120518113;;EST;;;0.58;0.00;0.00;;4.50;4.32;HSA-235;HSA-235;HSA-235;Lohusalu Sadam;;N;;N;N;N;;;WO;;LLS, GNS, FPO;5.00;0.00;Wood;;1967-12-31;MFL;1967-01-01;;
EST120518114;;EST;;;0.79;0.00;0.00;;5.15;4.94;VLE-374;VLE-374;VLE-374;Neeme Sadam;;N;;N;N;N;;;GO;;GNS, FPO;22.00;0.00;Fiber/Plastic;;2008-12-31;MFL;2008-01-01;;
EST120518115;;EST;;;0.33;0.00;0.00;;4.30;4.13;HSA-184;HSA-184;HSA-184;Ristna Sadam;;N;;N;N;N;;;WO;;GNS, FPO;8.60;0.00;Metal;;1989-12-31;MFL;1989-01-01;;
EST120518116;;EST;;;0.42;0.00;0.00;;4.40;4.22;HSA-363;HSA-363;HSA-363;Vihasoo;;N;;N;N;N;;;GO;;FPO, GNS, LLS;7.40;0.00;Fiber/Plastic;;1996-12-31;MFL;1996-01-01;;
EST120518117;;EST;;;0.54;0.00;0.00;;4.55;4.37;HSA-380;HSA-380;HSA-380;Kasispea;;N;;N;N;N;;;LO;;FPO, GNS, LLS;2.00;0.00;Wood;;2000-12-31;MFL;2000-01-01;;
EST120518118;;EST;;;0.36;0.00;0.00;;4.30;4.13;VLF-728;VLF-728;VLF-728;Ihasalu;;N;;N;N;N;;;GO;;FPO, LLS, GNS;4.00;0.00;Fiber/Plastic;;2009-12-31;MFL;2009-01-01;;
EST120518119;;EST;;;0.36;0.00;0.00;;4.20;4.03;ASA-518;ASA-518;ASA-518;Miiduranna Sadam;;N;;N;N;N;;;GO;;FPO, GNS, LLS;6.00;0.00;Fiber/Plastic;;1990-12-31;MFL;1990-01-01;;
EST120518120;;EST;;;0.40;0.00;0.00;;4.47;4.29;ASA-327;ASA-327;ASA-327;Lohusalu Sadam;;N;;N;N;N;;;LO;;GNS, LLS, FPO;4.00;0.00;Fiber/Plastic;;1992-12-31;MFL;1992-01-01;;
EST120518121;;EST;;;0.37;0.00;0.00;;4.28;4.11;HSA-246;HSA-246;HSA-246;Lohusalu Sadam;;N;;N;N;N;;;GO;;GNS, FPO;4.00;0.00;Fiber/Plastic;;1997-12-31;MFL;1997-01-01;;
EST120518122;;EST;;;0.39;0.00;0.00;;4.36;4.19;HSA-190;HSA-190;HSA-190;Turbuneeme;;N;;N;N;N;;;LO;;LLS, FPO, GNS;1.50;0.00;Fiber/Plastic;;1990-12-31;MFL;1990-01-01;;
EST120518123;;EST;;;0.39;0.00;0.00;;4.36;4.19;HSA-077;HSA-077;HSA-077;Turbuneeme;;N;;N;N;N;;;WO;;GNS, LLS, FPO;1.50;0.00;Fiber/Plastic;;1993-12-31;MFL;1993-01-01;;
EST120518124;;EST;;;0.69;0.00;0.00;;5.60;5.38;HSA-267;HSA-267;HSA-267;Pärispea;;N;;N;N;N;;;WO;;FPO, GNS;6.30;0.00;Wood;;1968-12-31;MFL;1968-01-01;;
EST120518125;;EST;;;0.28;0.00;0.00;;3.13;3.00;VLH-930;VLH-930;VLH-930;Käsmu;;N;;N;N;N;;;GO;;GNS, FPO;0.00;0.00;Fiber/Plastic;;1999-12-31;MFL;1999-01-01;;
EST120518126;;EST;;;0.82;0.00;0.00;;4.65;4.46;HMA-252;HMA-252;HMA-252;Tsitre;;N;;N;N;N;;;GO;;FPO, LLS, GNS;30.00;0.00;Fiber/Plastic;;1978-12-31;MFL;1978-01-01;;
EST120521127;;EST;;;0.97;0.00;0.00;;4.60;4.42;HMA-359;HMA-359;HMA-359;Lohusalu Sadam;;N;;N;N;N;;;LO;;GNS, FPO, LLS;29.40;0.00;Metal;;2003-12-31;MFL;2003-01-01;;
EST120521128;;EST;;;0.80;0.00;0.00;;4.99;4.79;VLJ-105;VLJ-105;VLJ-105;Lohusalu Sadam;;N;;N;N;N;;;GO;;GNS, LLS, FPO;10.00;0.00;Wood;;1970-12-31;MFL;1970-01-01;;
