CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
LTU000000024;;LTU;;;117.00;0.00;0.00;;25.50;22.00;1095;664;KL 664;Klaipeda;;Y;LYNL;Y;N;N;8722238;;FX;;OTB, OTM;221.00;32.00;Metal;;1985-12-30;MFL;1984-12-31;;
LTU000000025;;LTU;;;74.00;0.00;0.00;;26.20;24.60;6952;001;KL 001;Klaipeda;;Y;LYNE;Y;N;N;;;FX;;OTB, GNS;165.00;41.00;Metal;;1972-12-31;MFL;1971-12-31;2007-08-30;
LTU000000026;;LTU;;;206.00;0.00;0.00;;31.60;29.15;ERELIS;646;KL 646;Klaipeda;;Y;LYDZ;Y;N;N;;;FX;;OTB, OTM;224.00;130.00;Metal;;1970-08-22;MFL;1969-12-31;;
LTU000000027;;LTU;;;2548.00;0.00;0.00;;81.94;73.00;APUOKAS;681;KL 681;Klaipeda;;Y;LYQK;N;N;N;;;FX;;OTM, NK;2280.00;1180.00;Metal;;1971-10-20;MFL;1970-12-31;;
LTU000000029;;LTU;;;78.00;0.00;0.00;;25.23;22.00;6936;483;KL 483;Klaipeda;;Y;LYNH;Y;N;N;;;FX;;OTB, GNS;165.00;25.00;Metal;;1971-12-31;MFL;1970-12-31;2005-03-08;
LTU000000030;;LTU;;;3867.00;0.00;0.00;;101.48;93.91;ZUNDA;732;KL 732 ZUNDA;Klaipeda;;Y;LYNZ;Y;N;N;;;FX;;OTM, NK;2854.00;2205.00;Metal;;1982-03-31;MFL;1981-12-31;;
LTU000000031;;LTU;;;3879.00;0.00;0.00;;101.83;93.90;UTENA;729;KL-729 UTENA;Klaipeda;;Y;LYFI;Y;N;N;;;FX;;OTM, NK;2854.00;2205.00;Metal;;1974-12-02;MFL;1973-12-31;2005-06-21;
LTU000000032;;LTU;;;3879.00;0.00;0.00;;101.85;93.90;MAIRONIS;728;KL-728 MAIRONI;Klaipeda;;Y;LYFR;Y;N;N;;;FX;;OTM, NK;2854.00;2205.00;Metal;;1976-03-01;MFL;1975-12-31;2005-07-14;
LTU000000033;277200000;LTU;;;118.00;0.00;0.00;;25.50;22.00;LBB - 1026;185;KL 185;Klaipeda;;Y;LYND;Y;Y;Y;8876601;;FX;;OTB, NK;221.00;22.20;Metal;;1975-12-29;MFL;1974-12-31;;
LTU000000034;;LTU;;;2772.00;0.00;0.00;;83.90;78.19;NERINGA;730;KL-730 NERINGA;Klaipeda;;Y;LYNY;Y;N;N;;;FX;;OTM, NK;1471.00;1305.00;Metal;;1973-08-01;MFL;1972-12-31;2005-06-21;
