CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
DNK000027357;;DNK;;;0.80;0.00;0.00;;5.20;0.00;RIVALEN;R350;R350;;;N;;N;;;;;FX;;GNS, GND;7.00;0.00;;;1968-01-01;B08;;;1995-11-07
DNK000027359;;DNK;;;0.10;0.00;0.00;;2.40;0.00;REJEN;KA103;KA103;;;N;;N;;;;;FX;;GNS, GND;0.00;0.00;;;1980-01-01;B08;;;1996-03-25
DNK000027365;;DNK;;;2.20;0.00;0.00;;6.39;0.00;DAGNY;ND369;ND369;;;N;;N;;;;;FX;;GNS, GND;7.00;0.00;Wood;;1970-01-01;MFL;1965-01-01;;2014-06-23
DNK000027367;;DNK;;;0.40;0.00;0.00;;5.90;0.00;HERMAN JENSEN;A107;A107;;;N;;N;;;;;FX;;GNS, GND;0.00;0.00;;;1995-01-01;B08;;;1995-11-20
DNK000027368;;DNK;;;3.20;0.00;0.00;;8.05;8.05;SPROGØ;DNK000027368;KR138;Korsør;;N;;N;N;N;;;WO;;GNS, NK, NO;18.00;0.00;Fiber/Plastic;;1995-01-01;MFL;1995-01-01;;
DNK000027371;;DNK;;;0.70;0.00;0.00;;3.92;0.00;MIK;R369;R369;;;N;;N;;;;;FX;;GNS, GND;0.00;0.00;;;1992-01-01;B08;;;1996-01-03
DNK000027373;;DNK;;;7.90;0.00;0.00;;9.99;9.48;YVONNE;;RI141;;;Y;OU6878;N;N;N;;;WO;;GNS, OTB, LLS;77.00;0.00;Wood;;1995-01-01;MFL;1995-01-01;;2018-10-04
DNK000027383;;DNK;;;0.10;0.00;0.00;;4.00;0.00;KATHINKA;KA154;KA154;;;N;;N;;;;;FX;;GNS, GND;0.00;0.00;;;1943-01-01;B08;;;1996-03-20
DNK000027384;;DNK;;;0.20;0.00;0.00;;4.64;0.00;ELLEN;KA153;KA153;;;N;;N;;;;;FX;;GNS, GND;3.00;0.00;;;1943-01-01;B08;;;1996-01-26
DNK000027385;;DNK;;;0.70;0.00;0.00;;4.66;0.00;ULLA;T107;T107;;;N;;N;;;;;FX;;GNS, GND;4.00;0.00;;;1985-01-01;B08;;1996-03-08;
