CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
SWE000005667;;SWE;;;0.65;0.00;0.00;;5.25;0.00;No name;SFB9865;SM274;Bylehamn;;Y;SFB9865;N;Y;N;;;FX;;FPO, GNS;18.70;0.00;Fiber/Plastic;;1988-10-04;MFL;1975-01-01;;
SWE000005673;;SWE;;;0.66;0.00;0.00;;5.60;0.00;MINETTE;SFB9871;NRG14;Torrö;;Y;SFB9871;N;Y;N;;;FX;;GNS, FPO;18.38;0.00;Fiber/Plastic;;1988-10-07;MFL;1985-01-01;;2004-07-08
SWE000005676;;SWE;;;3.12;0.00;0.00;;7.70;0.00;INGRID;SFB9874;SIN84;Simrishamn;;Y;SFB9874;N;Y;N;;;FX;;FPO, GNS;36.00;0.00;Wood;;1988-10-07;MFL;1961-01-01;;2024-04-30
SWE000005677;;SWE;;;0.72;0.00;0.00;;5.90;0.00;No name;SFB9875;VK84;Händelöp;;Y;SFB9875;N;Y;N;;;FX;;GNS;11.76;0.00;Wood;;1988-10-07;MFL;1970-01-01;;2004-01-26
SWE000005679;;SWE;;;1.06;0.00;0.00;;6.44;0.00;No name;SFB9877;SG145;Hörvik;;Y;SFB9877;N;Y;N;;;FX;;FPO, NO;7.35;0.00;Wood;;1988-10-10;MFL;1974-01-01;;2020-04-18
SWE000005680;;SWE;;;3.41;0.00;0.00;;7.20;0.00;MOLLY;SFB9878;KA66;Senoren;;Y;SFB9878;N;Y;N;;;FX;;LHP, GNS;26.47;0.00;Fiber/Plastic;;1988-10-09;MFL;1988-01-01;;
SWE000005682;;SWE;;;1.35;0.00;0.00;;7.00;0.00;No name;SFB9881;VG119;Träslövsläge;;Y;SFB9881;N;Y;N;;;FX;;GNS;16.18;0.00;Wood;;1988-10-10;4M1;1956-01-01;;2000-01-01
SWE000005683;;SWE;;;0.80;0.00;0.00;;6.00;0.00;No name;SFB9882;SG147;Furumon;;Y;SFB9882;N;Y;N;;;FX;;GND, GNS;50.00;0.00;Wood;;1988-10-10;4M1;1980-01-01;;2000-01-10
SWE000005685;;SWE;;;4.72;0.00;0.00;;8.40;0.00;CORDIA;SFB9884;KA161;Hasslö;;Y;SFB9884;N;Y;N;;;FX;;GNS, LHP;45.00;0.00;Fiber/Plastic;;1988-10-10;MFL;1987-01-01;;2012-08-22
SWE000005686;;SWE;;;9.50;0.00;0.00;;10.33;0.00;YOLDIA;SFB9885;SG143;Hällevik;;Y;SFB9885;N;Y;N;;;FX;;GNS;95.59;0.00;Wood;;1988-10-09;MFL;1988-01-01;;
