Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
MLT;MLT00MFC0337;;MOD;2020-12-28;2100-12-31;MFB7337;MFB7337;Sacra Cuor;G1181;Marsalforn;9H3407;Y;Y;N;N;;N;;MO;LLS;LTL;;;;;4.88;0.00;1.74;0.00;0.00;41.00;0.00;3;1990-01-01;MFL;;;;1990-01-01
MLT;MLT00MFC0343;;MOD;2019-01-26;2100-12-31;MFB0343;MFB343;Cetta Cingi;M2091;Marsaxlokk (Il-Maghluq);9H9013;Y;Y;N;N;;N;;FX;LLS;FPO;;;;;5.10;0.00;0.98;0.00;0.00;6.06;0.00;1;1990-01-01;MFL;;;;1990-01-01
MLT;MLT00MFC0345;;RET;2008-01-15;2008-01-15;MFC5345;MFC5345;Not Named;M4272;St. Paul'S Bay (Il-Fekruna);;N;Y;N;N;;N;;MO;FPO;LLS;;;;;5.39;0.00;1.10;0.00;0.00;18.65;11.19;1;1981-01-01;MFL;;;PA;1981-01-01
MLT;MLT00MFC0346;;RET;2008-03-13;2008-03-13;MFC5346;MFC5346;Stella Maris;M3092;Gnejna;9H4332;Y;Y;N;N;;N;;MO;LLS;FPO;;;;;4.88;0.00;1.01;0.00;0.00;33.57;14.92;3;1992-01-01;MFL;;;PA;1992-01-01
MLT;MLT00MFC0347;;MOD;2023-01-06;2100-12-31;MFB0347;MFB347;DOVIKA;M4422;Bugibba;9H3448;Y;Y;N;N;;N;;MO;GTR;LHP;;;;;4.88;0.00;1.18;0.00;0.00;26.11;11.19;3;1997-01-01;MFL;;;;1990-01-01
MLT;MLT00MFC0348;;RET;2008-01-14;2008-01-14;MFC5348;MFC5348;Fatima;M2211;Birzebbuga (St George''S Bay);9H3490;Y;Y;N;N;;N;;MO;LLS;NK;;;;;6.75;0.00;2.43;0.00;0.00;26.86;26.86;1;1988-01-01;MFL;;;PA;1988-01-01
MLT;MLT00MFC0349;;MOD;2019-01-02;2100-12-31;MFB0349;MFB349;Dacmast;M1211;Ta' Xbiex (Msida Creek);9H3460;Y;Y;N;N;;N;;MO;LLS;GNS;;;;;7.62;0.00;3.02;0.00;0.00;37.37;37.37;2;1991-04-19;MFL;;;;1988-01-01
MLT;MLT00MFC0351;;RET;2012-10-30;2012-10-30;MFC8351;MFC8351;Betti;M2091;Marsaxlokk (Il-Maghluq);9H3054;Y;Y;N;N;;N;;MO;LLS;FPO;;;;;6.47;0.00;2.87;0.00;0.00;24.62;24.62;1;1972-01-01;MFL;;;PA;1972-01-01
MLT;MLT00MFC0352;;RET;2008-02-08;2008-02-08;MFC5352;MFC5352;St. Bartolomeo;M1241;Msida (Msida Creek);9H3465;Y;Y;N;N;;N;;MO;LHP;FPO;;;;;5.88;0.00;1.96;0.00;0.00;14.92;7.46;1;1990-06-22;MFL;;;PA;1985-01-01
MLT;MLT00MFC0353;;RET;2008-01-09;2008-01-09;MFC5353;MFC5353;Wallaby;M4452;Qawra;;N;Y;N;N;;N;;MO;LLS;FPO;;;;;4.09;0.00;0.42;0.00;0.00;8.95;0.00;1;1965-10-01;MFL;;;PA;1965-01-01
MLT;MLT00MFC0357;;RET;2014-06-27;2014-06-27;MFB0357;MFB357;St. Joseph IV;M2211;Birzebbuga (St George''S Bay);9H2341;Y;Y;N;N;;N;;MO;LLD;GTR;;;;;9.20;0.00;6.55;0.00;0.00;146.00;146.00;3;1987-10-01;MFL;;;PA;1981-01-01
MLT;MLT00MFC0361;;MOD;2019-01-02;2100-12-31;MFB0361;MFB361;St. Anthony;M2211;Birzebbuga (St George''S Bay);9H3801;Y;Y;N;N;;N;;MO;LLS;GTR;;;;;5.85;0.00;1.31;0.00;0.00;26.00;8.21;1;1991-01-01;MFL;;;;1980-01-01
MLT;MLT00MFC0364;;MOD;2022-07-21;2100-12-31;MFB0364;MFB364;Albatross;M3092;Gnejna;9H6701;Y;Y;N;N;;N;;MO;LLS;GTR;;;;;4.57;0.00;0.62;0.00;0.00;11.19;7.46;1;1977-10-01;MFL;;;;1977-01-01
MLT;MLT00MFC0365;;RET;2015-03-27;2015-03-27;MFB0365;MFB365;San Mark;M3092;Gnejna;9H3434;Y;Y;N;N;;N;;MO;GTR;LLS;;;;;4.22;0.00;0.68;0.00;0.00;11.94;0.00;3;1990-01-01;MFL;;;PA;1990-01-01
MLT;MLT00MFC0367;;DES;2007-09-19;2007-09-19;MFB0367;MFB367;Bahri;M3092;Gnejna;9H5031;Y;Y;N;N;;N;;MO;GTR;LLS;;;;;4.27;0.00;0.54;0.00;0.00;14.92;0.00;1;1965-01-01;MFL;;;PA;1965-01-01
MLT;MLT00MFC0368;;RET;2022-05-12;2022-05-12;MFC5371;MFC5371;Qrolla;M4392;St. Paul'S Bay (Il-Gillieru);9H6119;Y;Y;N;N;;N;;MO;LHP;LTL;;;;;5.10;0.00;0.82;0.00;0.00;14.70;0.00;3;1998-12-05;MFL;;;;1997-01-01
MLT;MLT00MFC0370;;MOD;2024-08-02;2100-12-31;MFB0370;MFB370;NOEL;M1241;Msida (Msida Creek);9H7535;Y;Y;N;N;;N;;MO;LTL;LLS;;;;;5.00;0.00;1.07;0.00;0.00;31.00;15.00;3;1997-12-01;MFL;;;;1997-01-01
MLT;MLT00MFC0373;;MOD;2017-06-28;2100-12-31;MFB0373;MFB373;Padre Pio;M1061;St. Julians Bay;9H6098;Y;Y;N;N;;N;;MO;GTR;LLS;;;;;5.56;0.00;1.67;0.00;0.00;33.57;6.70;1;1971-01-01;MFL;;;;1971-01-01
MLT;MLT00MFC0374;;RET;2005-02-28;2005-02-28;MFC8374;MFC8374;Sulinder;M2121;Marsaxlokk (Ix-Xatt);;N;Y;N;N;;N;;MO;LLS;NK;;;;;4.27;0.00;0.48;0.00;0.00;2.61;0.00;1;1970-01-01;MFL;;;PA;1970-01-01
MLT;MLT00MFC0375;;RET;2008-01-16;2008-01-16;MFC5375;MFC5375;Dun Kolc;M4392;St. Paul'S Bay (Il-Gillieru);9H6570;Y;Y;N;N;;N;;MO;LLS;FPO;;;;;3.86;0.00;0.50;0.00;0.00;11.19;0.00;1;1972-01-01;MFL;;;PA;1971-01-01
MLT;MLT00MFC0380;;RET;2006-03-29;2006-03-29;MFB0380;MFB380;Not Named;M1241;Msida (Msida Creek);9H6505;Y;Y;N;N;;N;;MO;LLS;LHM;;;;;5.00;0.00;1.80;0.00;0.00;71.62;0.00;3;1999-05-01;MFL;;;PA;1997-01-01
MLT;MLT00MFC0383;;MOD;2005-01-14;2100-12-31;MFB8383;MFB8383;Maria Annunziata;M4422;Bugibba;9H5239;Y;Y;N;N;;N;;MO;GTR;LLS;;;;;4.88;0.00;0.67;0.00;0.00;41.03;11.19;3;1995-01-01;MFL;;;;1994-01-01
MLT;MLT00MFC0385;;RET;2008-01-18;2008-01-18;MFC5385;MFC5385;Antonella;M4482;Salina;9H3456;Y;Y;N;N;;N;;MO;LLS;NK;;;;;4.88;0.00;1.06;0.00;0.00;22.38;11.19;3;1995-01-01;MFL;;;PA;1991-01-01
MLT;MLT00MFC0387;;MOD;2019-10-24;2100-12-31;MFA8387;MFA8387;St. Elena I;M4302;St. Paul'S Bay (Xemxija);9H5262;Y;Y;N;N;;N;;MO;LLS;GTN;;;;;6.03;0.00;1.75;0.00;0.00;66.00;66.00;3;1994-01-01;MFL;;;;1994-01-01
MLT;MLT00MFC0388;;MOD;2022-06-30;2100-12-31;MFB0388;MFB388;Morning Star II;M1241;Msida (Msida Creek);9H6491;Y;Y;N;N;;N;;MO;LLS;LLD;;;;;8.95;0.00;6.38;0.00;0.00;138.00;138.00;3;1998-01-01;MFL;;;;1997-01-01
MLT;MLT00MFC0391;;RET;2015-02-25;2015-02-25;MFC8391;MFC8391;Berta;M4422;Bugibba;9H3735;Y;Y;N;N;;N;;MO;LTL;NO;;;;;5.26;0.00;0.97;0.00;0.00;7.46;0.00;1;1989-10-10;MFL;;;PA;1989-01-01
MLT;MLT00MFC0392;;RET;2005-02-28;2005-02-28;MFC0392;MFC392;White Angel;M4422;Bugibba;9H6112;Y;Y;N;N;;N;;MO;LLS;NK;;;;;5.50;0.00;1.10;0.00;0.00;96.98;0.00;3;1998-01-14;MFL;;;PA;1997-01-01
MLT;MLT00MFC0393;;MOD;2021-08-19;2100-12-31;MFB0393;MFB393;Dodo II;M4302;St. Paul'S Bay (Xemxija);9H5253;Y;Y;N;N;;N;;MO;GTR;FPO;;;;;5.50;0.00;1.91;0.00;0.00;65.65;0.00;3;1995-01-01;MFL;;;;1995-01-01
