Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
SVN;SVN000000019;;MOD;2021-11-18;2100-12-31;362-KP;362-KP;Deklica;SIKOP;Koper;S5UZ3;Y;Y;Y;Y;N;Y;278526000;FX;OTB;OTM;;;;;16.20;0.00;22.42;0.00;0.00;123.00;0.00;1;1967-02-28;MFL;;;;
SVN;SVN000000020;;MOD;2023-05-19;2100-12-31;365-KP;365-KP;Igor;SIKOP;Koper;;N;Y;N;N;Y;N;;FX;GNS;GND;;;;;7.48;0.00;3.00;0.00;0.00;33.00;0.00;1;1999-08-30;MFL;;;;
SVN;SVN000000021;;RET;2011-12-20;2011-12-20;396-KP;396-KP;Amigo II;SIKOP;Koper;;N;N;N;N;Y;N;;FX;PS;GNS;;;;;11.96;0.00;6.18;0.00;0.00;110.40;0.00;1;1985-04-23;MFL;;;PA;
SVN;SVN000000022;;DES;2012-02-15;2012-02-15;413-KP;413-KP;Palamida;SIKOP;Koper;;N;N;N;N;Y;N;;FX;GNS;GTR;;;;;9.73;0.00;5.16;0.00;0.00;131.00;0.00;3;2003-07-18;MFL;;;PA;
SVN;SVN000000023;;MOD;2013-10-15;2100-12-31;477-KP;477-KP;477-KP;SIKOP;Koper;;N;Y;N;N;Y;N;;FX;GNS;GTR;;;;;6.00;0.00;1.69;0.00;0.00;13.23;0.00;1;2004-03-25;MFL;;;;
SVN;SVN000000024;;RET;2014-01-23;2014-01-23;541-KP;541-KP;Sali;SIKOP;Koper;;N;N;N;N;Y;N;;FX;GNS;GTR;;;;;7.30;0.00;1.74;0.00;0.00;27.78;0.00;1;1999-05-19;MFL;;;PA;
SVN;SVN000000025;;MOD;2018-01-24;2100-12-31;635-KP;635-KP;635-KP;SIKOP;Koper;;N;Y;N;N;Y;N;;FX;GNS;GTR;;;;;4.92;0.00;0.80;0.00;0.00;2.94;0.00;1;2004-04-13;MFL;;;;
SVN;SVN000000026;;DES;2012-10-04;2012-10-04;654-KP;654-KP;654-KP;SIKOP;Koper;S5K2654;Y;N;N;N;Y;N;;FX;OTB;GTR;;;;;11.46;0.00;8.60;0.00;0.00;80.00;0.00;1;1989-07-13;MFL;;;AC;
SVN;SVN000000027;;MOD;2025-06-09;2100-12-31;660-KP;660-KP;660-KP;SIKOP;Koper;;N;Y;N;N;Y;N;;FX;GNS;GTR;;;;;6.72;0.00;2.16;0.00;0.00;34.38;0.00;1;2001-06-15;MFL;;;;
SVN;SVN000000028;;MOD;2016-03-08;2100-12-31;661-KP;661-KP;Artur III;SIKOP;Koper;;N;Y;N;N;Y;N;;FX;GNS;GTR;;;;;7.50;0.00;2.48;0.00;0.00;11.70;0.00;1;2004-03-30;MFL;;;;
SVN;SVN000000029;;MOD;2025-03-17;2100-12-31;700-KP;700-KP;700-KP;SIKOP;Koper;;N;Y;N;;;N;;FX;GNS;GTR;;;;;4.45;0.00;0.68;0.00;0.00;2.94;0.00;1;2003-04-14;MFL;;;;
SVN;SVN000000030;;RET;2012-08-08;2012-08-08;902-KP;902-KP;902-KP;SIKOP;Koper;;N;N;N;N;Y;N;;FX;GNS;GTR;;;;;6.17;0.00;2.18;0.00;0.00;13.23;0.00;1;2004-03-31;MFL;;;PA;
SVN;SVN000000031;;DES;2023-07-17;2023-07-17;921-KP;921-KP;Lastovka;SIKOP;Koper;S5UZ2;Y;N;Y;Y;Y;Y;278329000;FX;OTB;GNS;;;;;15.80;0.00;20.78;0.00;0.00;129.00;0.00;1;1955-05-10;MFL;;;;
SVN;SVN000000032;;MOD;2017-03-21;2100-12-31;959-KP;959-KP;Barčica;SIKOP;Koper;;N;Y;N;N;Y;N;;FX;GNS;GTR;;;;;4.83;0.00;0.62;0.00;0.00;3.31;0.00;3;2004-04-13;MFL;;;;
SVN;SVN000000033;;RET;2013-11-14;2013-11-14;1204-KP;1204-KP;1204-KP;SIKOP;Koper;;N;N;N;N;Y;N;;FX;GNS;GTR;;;;;6.06;0.00;1.16;0.00;0.00;13.23;0.00;1;2004-03-30;MFL;;;PA;
SVN;SVN000000034;;DES;2024-10-17;2024-10-17;1221-KP;1221-KP;Giovanna II;SIKOP;Koper;S5K3221;Y;N;Y;;;N;278063000;FX;GNS;GTR;;;;;13.40;0.00;14.13;0.00;0.00;162.00;0.00;4;1998-02-02;MFL;;;;
SVN;SVN000000035;;RET;2010-04-15;2010-04-15;1881-KP;1881-KP;1881-KP;SIKOP;Koper;;N;N;N;N;Y;N;;FX;GNS;GTR;;;;;6.22;0.00;1.46;0.00;0.00;12.00;0.00;1;2003-08-18;MFL;;;PA;
SVN;SVN000000036;;DES;2012-04-26;2012-04-26;2109-KP;2109-KP;2109-KP;SIKOP;Koper;;N;N;N;N;Y;N;;FX;GNS;GTR;;;;;3.91;0.00;0.58;0.00;0.00;2.94;0.00;3;2004-03-16;MFL;;;PA;
SVN;SVN000000037;;MOD;2022-04-26;2100-12-31;2468-KP;2468-KP;2468-KP;SIKOP;Koper;;N;Y;N;N;Y;N;;FX;GNS;GTR;;;;;5.55;0.00;1.75;0.00;0.00;27.40;0.00;3;2014-07-07;MFL;;;;
SVN;SVN000000038;;DES;2012-08-08;2012-08-08;2758-KP;2758-KP;Špric;SIKOP;Koper;;N;N;N;N;Y;N;;FX;GNS;GTR;;;;;5.48;0.00;0.92;0.00;0.00;84.52;0.00;3;2004-02-04;MFL;;;PA;
SVN;SVN000000039;;RET;2013-05-29;2013-05-29;2963-KP;2963-KP;2963-KP;SIKOP;Koper;;N;N;N;N;Y;N;;FX;GNS;GTR;;;;;6.80;0.00;2.14;0.00;0.00;16.17;0.00;1;2004-04-09;MFL;;;PA;
SVN;SVN000000040;;RET;2018-04-06;2018-04-06;269-KP;269-KP;269-KP;SIKOP;Koper;;N;N;N;N;Y;N;;FX;GTR;GNS;;;;;7.90;0.00;2.00;0.00;0.00;100.00;0.00;3;2004-04-20;MFL;;;PA;
SVN;SVN000000041;;RET;2016-11-15;2016-11-15;1-PI;1-PI;1-PI;SIPIR;Piran;;N;N;N;N;Y;N;;FX;GNS;GTR;;;;;5.00;0.00;0.80;0.00;0.00;13.23;0.00;3;1992-11-04;MFL;;;PA;
