Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
BGR;BGR002420775;;MOD;2024-09-11;2100-12-31;ПР 775;ПР 775;ПР 775;BGPRI;Primorsko;;N;N;N;N;Y;N;;FX;GNS;LHP;;;;;4.10;0.00;0.38;0.00;0.00;11.03;0.00;3;2020-11-09;MFL;;;PA;2014-01-01
BGR;BGR002420776;;CST;2021-02-25;2100-12-31;776;ПР 776;ПР 776;BGPRI;Primorsko;;N;N;N;N;Y;N;;FX;GNS;GNS;;;;;5.60;5.00;0.59;0.00;0.00;22.07;0.00;3;2020-11-13;MFL;;;PA;2020-01-01
BGR;BGR002420778;;MOD;2024-03-27;2100-12-31;ПР 778;ПР 778;АРГО;BGPRI;Primorsko;;N;N;N;N;Y;N;;FX;GNS;LHP;;;;;8.50;0.00;2.73;0.00;0.00;80.17;0.00;3;2021-01-19;MFL;;;PA;2020-01-01
BGR;BGR002420795;;CHA;2022-01-24;2100-12-31;795;ПР 795;ПР 795;BGPRI;Primorsko;;N;N;N;N;Y;N;;FX;GNS;GNS;;;;;4.80;4.50;0.80;0.00;0.00;5.88;0.00;3;2021-11-10;MFL;;;PA;1988-01-01
BGR;BGR002420796;;MOD;2024-01-30;2100-12-31;796;ПР 796;ПР 796;BGPRI;Primorsko;;N;N;N;N;Y;N;;FX;GNS;LHP;;;;;4.80;4.50;0.80;0.00;0.00;11.03;0.00;3;2021-11-11;MFL;;;PA;2005-01-01
BGR;BGR002420797;;CHA;2022-02-04;2100-12-31;797;ПР 797;ГЕРДЖИКА;BGPRI;Primorsko;;N;N;N;N;Y;N;;FX;GNS;LHP;;;;;7.80;7.30;2.77;0.00;0.00;33.10;0.00;3;2021-11-16;MFL;;;PA;2010-01-01
BGR;BGR002420801;;CHA;2022-08-26;2100-12-31;801;ПР 801;ПР 801;BGPRI;Primorsko;;N;N;N;N;Y;N;;FX;GNS;LHP;;;;;6.20;5.80;1.53;0.00;0.00;36.77;0.00;3;2022-05-09;MFL;;;PA;2010-01-01
BGR;BGR002420809;;CHA;2022-09-08;2100-12-31;809;ПР 809;ПР 809;BGPRI;Primorsko;;N;N;N;N;Y;N;;FX;GNS;LHP;;;;;4.70;4.20;0.78;0.00;0.00;5.89;0.00;3;2022-07-15;MFL;;;PA;2000-01-01
BGR;BGR002420811;;CHA;2022-08-18;2100-12-31;811;ПР 811;ПР 811;BGPRI;Primorsko;;N;N;N;N;Y;N;;FX;GNS;LHP;;;;;6.15;5.75;1.52;0.00;0.00;44.12;0.00;3;2011-07-22;MFL;;;PA;2011-01-01
BGR;BGR002420818;;CHA;2023-01-18;2100-12-31;ПР 818;ПР 818;ПР 818;BGPRI;Primorsko;;N;N;N;N;Y;N;;FX;GNS;LHP;;;;;4.50;4.00;0.80;0.00;0.00;2.21;0.00;3;2023-01-09;MFL;;;PA;2005-01-01
BGR;BGR002420828;;CST;2023-06-02;2100-12-31;828;ПР 828;ПР 828;BGPRI;Primorsko;;N;N;N;N;Y;N;;FX;GNS;LHP;;;;;6.10;0.00;1.48;0.00;0.00;29.42;0.00;3;2023-04-07;MFL;;;PA;2023-01-01
BGR;BGR002420831;;MOD;2025-02-26;2100-12-31;Пр 831;Пр 831;Пр 831;BGPRI;Primorsko;;N;Y;N;N;Y;N;;FX;GNS;LHP;;;;;5.80;0.00;1.08;0.00;0.00;36.77;0.00;3;2023-04-18;MFL;;;PA;2023-01-01
BGR;BGR002420856;;MOD;2025-07-31;2100-12-31;Пр 856;Пр 856;Пр 856;BGPRI;Primorsko;;N;Y;N;N;Y;N;;FX;GNS;LHP;;;;;5.20;0.00;1.05;0.00;0.00;44.13;0.00;3;2024-06-14;MFL;;;PA;2022-01-01
BGR;BGR002420857;;MOD;2024-10-31;2100-12-31;Пр 857;Пр 857;Пр 857;BGPRI;Primorsko;;N;Y;N;N;Y;N;;FX;GNS;LHP;;;;;6.10;5.40;1.33;0.00;0.00;11.77;0.00;3;2024-08-16;MFL;;;PA;2022-01-01
BGR;BGR002430001;;RET;2019-04-24;2019-04-24;001;ПР001;ПР 001;BGPRI;Primorsko;;N;N;N;N;Y;N;;FX;GNS;LHP;;;;;6.40;0.00;1.12;0.00;0.00;6.62;0.00;1;1993-01-06;MFL;;;PA;1993-01-01
BGR;BGR002430006;;MOD;2025-04-03;2100-12-31;ПР006;ПР006;АГЕНТ;BGPRI;Primorsko;;N;Y;N;N;Y;N;;FX;FPO;LHP;;;;;4.60;0.00;0.57;0.00;0.00;2.94;0.00;3;1996-03-01;MFL;;;PA;1996-01-01
BGR;BGR002430007;;MOD;2017-12-31;2100-12-31;007;ПР007;ПР 007;BGPRI;Primorsko;;N;N;N;N;Y;N;;FX;GNS;FPO;;;;;10.60;0.00;5.16;0.00;0.00;16.92;0.00;1;1995-02-01;MFL;;;PA;1995-01-01
BGR;BGR002430010;;RET;2014-04-07;2014-04-07;010;Пр010;КОН ТИКИ;BGSOZ;Sozopol;;N;N;N;N;Y;N;;FX;GNS;GTN;;;;;4.50;0.00;0.60;0.00;0.00;13.24;0.00;3;1998-04-09;MFL;;;PA;1998-01-01
