Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
ITA;ITA000019195;;CHA;2024-08-09;2100-12-31;00MZ01739;00MZ01739;GENNY;00243;Milazzo;IMEU2;Y;Y;N;N;;N;;FX;PS;LLS;;;;;9.15;8.52;3.00;4.96;0.00;47.00;0.00;1;1995-06-05;MFL;;;PA;1994-01-01
ITA;ITA000019196;;MOD;2024-04-19;2100-12-31;00SR02373;00SR02373;MADONNA DELLE LACRIME;00263;Siracusa;IJKG;Y;Y;N;Y;;Y;247145040;FX;LLS;GNS;;;;;11.97;10.93;9.00;13.19;0.00;128.00;0.00;1;1993-07-15;MFL;;;;1992-01-01
ITA;ITA000019197;;DES;2006-12-29;2006-12-29;05BA00887;05BA00887;DOMENICOANTONIA;00159;Mola Di Bari;I.I.U.K;Y;Y;N;;;;;FX;OTB;NO;;;;;25.15;21.98;97.00;100.31;0.00;485.00;0.00;1;1996-01-23;MFL;;;AC;1995-01-01
ITA;ITA000019198;;DES;2011-07-04;2011-07-04;00CS00140M;00CS00140M;MARIA PIA;00096;Castellammare Di Stabia;IIYS;Y;Y;Y;;;;;FX;PS;OTB;;;;;29.35;0.00;198.00;97.73;0.00;956.00;0.00;2;1997-01-10;MFL;;;AC;1996-01-01
ITA;ITA000019199;;MOD;2009-01-02;2100-12-31;00CI03259;00CI03259;NAVIDAL;00207;Chioggia;ILME2;Y;Y;N;;;;;FX;DRB;GNS;;;;;11.75;10.00;9.00;8.05;0.00;94.00;0.00;2;1996-01-29;MFL;;;;1995-01-01
ITA;ITA000019200;;MOD;2023-12-15;2100-12-31;04CS00369;04CS00369;SAN GENNARO;00100;Vico Equense;;N;Y;N;N;;N;;FX;GND;GNS;;;;;6.18;6.00;1.00;2.41;0.00;7.30;0.00;1;1991-10-01;MFL;;;;1972-01-01
ITA;ITA000019201;;RET;2007-04-19;2007-04-19;07PA02036;07PA02036;AGATA MADRE;00289;Porticello;IKQX;Y;Y;Y;;;;;FX;OTB;NO;;;;;29.26;25.40;149.00;97.47;0.00;625.00;0.00;1;1996-03-11;MFL;;;AC;1996-01-01
ITA;ITA000019202;;MOD;2014-10-25;2100-12-31;05CA00152;05CA00152;DORIA II;00229;Arbatax;;N;Y;N;N;;N;;FX;LLS;GNS;;;;;7.69;7.44;2.00;2.90;0.00;15.40;0.00;1;1996-01-22;MFL;;;;1995-01-01
ITA;ITA000019203;;MOD;2014-02-03;2100-12-31;05CA00153;05CA00153;S. SILVERIO II;00229;Arbatax;;N;Y;N;N;;N;;FX;LLS;GNS;;;;;7.48;7.44;2.00;2.90;0.00;15.40;0.00;1;1996-01-22;MFL;;;;1995-01-01
ITA;ITA000019204;;RET;1997-09-18;1997-09-18;01GL00250;01GL00250;SANTA CESAREA;00154;Castro;;N;Y;N;;;;;FX;LLS;GNS;;;;;13.10;10.95;8.00;9.63;0.00;88.00;0.00;1;1996-02-13;4H4;;;PA;1979-01-01
ITA;ITA000019205;;MOD;2024-08-19;2100-12-31;01RA01264;01RA01264;STELLA;00203;Porto Garibaldi;ILMW2;Y;Y;N;N;;Y;247079450;FX;GNS;NO;;;;;7.10;5.70;2.00;2.47;0.00;40.50;0.00;4;1996-02-28;MFL;;;;1995-01-01
ITA;ITA000019206;;MOD;2021-04-14;2100-12-31;05RA01865;05RA01865;ALADDIN;00206;Goro;ILGE;Y;Y;N;Y;;Y;247072360;FX;OTB;GNS;;;;;13.34;12.20;14.00;6.51;0.00;69.80;0.00;1;1996-01-22;MFL;;;;1982-01-01
ITA;ITA000019207;;MOD;2022-02-17;2100-12-31;03RM01129;03RM01129;CIRCE;00196;Cattolica;ITTM;Y;Y;N;N;;Y;247074270;FX;GNS;NO;;;;;8.85;7.93;4.00;3.72;0.00;69.00;0.00;1;1996-02-15;MFL;;;;1992-01-01
ITA;ITA000019208;;MOD;2023-05-23;2100-12-31;00RO07977;00RO07977;RAFFAELE PADRE;00072;Roma;IZWS;Y;Y;N;Y;;N;;FX;DRB;GNS;;;;;14.17;13.30;7.00;9.95;0.00;109.00;0.00;1;1991-07-20;MFL;;;;1989-01-01
ITA;ITA000019209;;RET;2004-12-14;2004-12-14;03SR00993;03SR00993;CARMELA;00265;Portopalo Di Capo Passero;;N;Y;N;;;;;FX;LLS;GNS;;;;;6.25;0.00;1.00;1.99;0.00;19.00;0.00;1;1990-01-22;MFL;;;PA;1990-01-01
ITA;ITA000019210;;MOD;2020-08-25;2100-12-31;03PS00529;03PS00529;IVAN I;00199;Gabicce Mare;IKTX;Y;Y;N;N;;Y;247082240;FX;DRB;GNS;;;;;13.20;11.50;14.00;9.85;0.00;104.00;0.00;1;1996-03-09;MFL;;;;1995-01-01
ITA;ITA000019211;;RET;2009-12-22;2009-12-22;00SR02353;00SR02353;;00263;Siracusa;;N;Y;N;;;;;FX;LLS;GNS;;;;;6.72;6.32;1.00;2.49;0.00;14.00;0.00;1;1992-01-13;MFL;;;PA;1990-01-01
ITA;ITA000019212;;DES;2017-04-04;2017-04-04;00RO08331;00RO08331;ABBA';00072;Roma;IZDP;Y;Y;N;;;;;FX;GNS;NO;;;;;7.40;7.15;2.00;4.02;0.00;64.75;0.00;4;1996-02-28;MFL;;;PA;1989-01-01
