Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
FRA;FRA000890576;;RET;2018-07-17;2018-07-17;890576;BI890576;GWENN-HA-DU;BI;;;N;N;N;N;;N;;WO;FPO;NO;;;;;7.89;0.00;3.95;4.49;0.00;166.00;0.00;3;2013-05-16;MFL;;;PA;2003-01-01
FRA;FRA000890577;;RET;2017-01-24;2017-01-24;890577;FF 890577;SOLEANN;FF;;FGB2879;Y;Y;N;;;;;FX;FPO;NO;;;;;6.72;0.00;0.83;2.78;0.00;166.00;0.00;3;2003-07-25;4FJ;;;PA;2003-01-01
FRA;FRA000890578;;RET;2019-03-24;2019-03-24;890578;FF890578;PIPO 2;FF;;;N;N;N;N;;N;;WO;FPO;NO;;;;;7.00;0.00;2.15;2.08;0.00;85.00;0.00;3;2003-07-29;4FJ;;;PA;2003-01-01
FRA;FRA000890579;;RET;2005-12-29;2005-12-29;890579;FF 890579;L'UNIQUE;FF;;FGB2953;Y;Y;N;;;;;FX;FPO;NO;;;;;5.90;0.00;0.87;2.03;0.00;63.00;0.00;1;2003-08-07;4FJ;;;PA;2003-01-01
FRA;FRA000890580;;MOD;2024-12-10;2100-12-31;890580;FF890580;LE LOIRE;MQFDF;Fort-De-France;;N;Y;N;N;Y;N;;FX;FPO;NO;;;;;5.75;0.00;0.50;1.00;0.00;19.00;0.00;3;2003-08-13;4FJ;;;;1992-01-01
FRA;FRA000890581;;MOD;2024-09-18;2100-12-31;890581;FF890581;GALATE;MQFDF;Fort-De-France;FGB2835;Y;Y;N;N;Y;Y;347002280;FX;GN;LHP;;;;;7.00;0.00;2.83;2.50;0.00;110.00;0.00;3;2003-08-13;4FJ;;;;2003-01-01
FRA;FRA000890582;;RET;2014-04-17;2014-04-17;890582;FF 890582;YANNICK;FF;;;N;Y;N;;;;;FX;FPO;NO;;;;;6.20;0.00;0.74;1.25;0.00;29.00;0.00;3;2003-08-04;4FJ;;;PA;2003-01-01
FRA;FRA000890583;;RET;2019-09-30;2019-09-30;890583;FF890583;CEPHA;FF;;FGB2829;Y;N;N;N;;N;;WO;FPO;NO;;;;;9.50;0.00;2.08;6.92;0.00;339.00;0.00;3;2003-08-28;4FJ;;;PA;1993-01-01
FRA;FRA000890584;;MOD;2025-02-25;2100-12-31;890584;FF890584;L'OLIVIER;MQFDF;Fort-De-France;FGB2832;Y;Y;N;N;Y;Y;347002270;FX;FPO;NO;;;;;7.92;0.00;3.23;4.12;0.00;206.00;0.00;3;2003-09-02;4FJ;;;;2003-01-01
FRA;FRA000890585;;MOD;2024-12-10;2100-12-31;890585;FF890585;ONE STONE;MQFDF;Fort-De-France;FGB3210;Y;Y;N;N;Y;Y;347007280;FX;FPO;NO;;;;;6.30;0.00;2.06;2.84;0.00;85.00;0.00;3;2003-09-08;4FJ;;;;2003-01-01
FRA;FRA000890591;;MOD;2024-12-10;2100-12-31;890591;FF890591;TI-NATH;MQFDF;Fort-De-France;FGB2859;Y;Y;N;N;Y;Y;347002410;FX;FPO;NO;;;;;7.00;0.00;2.15;2.08;0.00;146.00;0.00;3;2003-10-21;4FJ;;;;2003-01-01
