Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
ROU;ROM000002449;;RET;2013-01-30;2013-01-30;ROUP050056CT;ROUP050056CT;LICURICI;CONSTANTA;;;N;N;N;N;;N;;FX;GNS;SB;;;;;9.34;0.00;6.08;0.00;0.00;48.00;0.00;2;2005-12-12;MFL;;;PA;1979-01-01
ROU;ROM000002450;;MOD;2025-06-18;2100-12-31;64335;3 3765 CT;3765;CT;Constanta;;N;N;N;Y;Y;Y;;FX;GNS;SB;FPO;;;;10.50;0.00;3.55;0.00;0.00;0.00;0.00;3;2005-12-12;MFL;;;;1985-01-01
ROU;ROM000002451;;RET;2024-07-29;2024-07-29;64336;3 3836 CT;3836;CT;Constanta;;N;N;N;Y;Y;Y;;FX;GNS;LLS;SB;;;;7.00;0.00;0.60;0.00;0.00;0.00;0.00;3;2005-12-12;MFL;;;;1988-01-01
ROU;ROM000002452;;MOD;2025-07-25;2100-12-31;64341;3 5328 CT;5328;CT;Constanta;;N;N;N;Y;Y;Y;;FX;GNS;FPO;;;;;7.70;0.00;1.11;0.00;0.00;0.00;0.00;3;2005-12-12;MFL;;;;1988-01-01
ROU;ROM000002501;;RET;2012-11-22;2012-11-22;ROUP101010SL;ROU101010SL;1010 SL;SULINA;;;N;N;N;N;;N;;FX;GNS;SB;;;;;5.35;0.00;0.62;0.00;0.00;11.00;0.00;3;2010-06-18;MFL;;;PA;2005-01-01
ROU;ROM000002600;;RET;2012-09-13;2012-09-13;ROUP060327TO;ROUP060327TO;327 TO;TOMIS;;;N;N;N;N;;N;;FX;GNS;LLD;;;;;4.75;0.00;0.58;0.00;0.00;0.00;0.00;3;2006-03-02;MFL;;;PA;1976-01-01
ROU;ROM000002609;;RET;2012-09-12;2012-09-12;ROUP060330TO;ROUP050089MG;330 TO;TULCEA;;;N;N;N;N;;N;;FX;GNS;GND;;;;;6.90;0.00;0.60;0.00;0.00;7.27;0.00;3;2006-02-16;MFL;;;PA;2004-01-01
ROU;ROM000002610;;RET;2012-11-22;2012-11-22;ROUP060342TO;ROUP060342TO;BARACUDA II;TOMIS;;;N;N;N;N;;N;;FX;GNS;NO;;;;;10.57;0.00;4.51;0.00;0.00;77.00;0.00;3;2006-02-16;MFL;;;PA;1983-01-01
ROU;ROM000002639;;RET;2012-09-13;2012-09-13;ROUP060710GL;ROUP060710GL;PETRU RARES;GALATI;;;N;N;Y;Y;;N;;FX;GNS;LLS;;;;;15.50;0.00;38.20;0.00;0.00;132.48;0.00;2;2006-02-17;MFL;;;PA;1957-01-01
ROU;ROM000002640;;RET;2010-11-26;2010-11-26;ROUP090689GL;ROUP090689GL;LABANU;GALATI;;;N;N;N;N;;N;;FX;GNS;NO;;;;;12.66;0.00;20.88;0.00;0.00;158.00;0.00;2;2006-02-17;MFL;;;AC;1967-01-01
ROU;ROM000002641;;RET;2012-09-14;2012-09-14;ROUP060795SL;ROUP060795SL;795 SL;SULINA;;;N;N;N;N;;N;;FX;GNS;LLS;;;;;10.55;0.00;3.44;0.00;0.00;7.28;0.00;3;2006-02-17;MFL;;;PA;1989-01-01
ROU;ROM000002646;;RET;2009-07-31;2009-07-31;ROUP060993SL;ROUP060993SL;993 SL;SULINA;;;N;N;N;N;;N;;FX;GNS;NO;;;;;5.35;0.00;0.62;0.00;0.00;14.72;0.00;2;2006-02-21;MFL;;;PA;1993-01-01
ROU;ROM000002649;;RET;2012-12-10;2012-12-10;3 510 TL;3 510 TL;510 TL;TULCEA;;;N;N;N;N;;N;;FX;GNS;NO;;;;;10.55;0.00;3.44;0.00;0.00;33.00;0.00;3;2006-02-21;MFL;;;AC;1989-01-01
ROU;ROM000002650;;RET;2012-09-14;2012-09-14;ROUP062033TL;ROUP062033TL;2033 TL;TULCEA;;;N;N;N;N;;N;;FX;GNS;NO;;;;;7.60;0.00;1.08;0.00;0.00;11.00;0.00;3;2006-02-21;MFL;;;PA;1986-01-01
ROU;ROM000002651;;RET;2017-02-21;2017-02-21;3 3018 CT;3 3018 CT;LUFARUL 1;CONSTANTA;;;N;N;N;N;;N;;FX;GNS;LLS;;;;;10.30;0.00;3.79;0.00;0.00;47.90;0.00;3;2006-06-21;MFL;;;PA;1986-01-01
ROU;ROM000002653;;RET;2012-09-12;2012-09-12;ROUP062035TL;ROUP062035TL;2035 TL;TULCEA;;;N;N;N;N;;N;;FX;GNS;NO;;;;;7.60;0.00;1.08;0.00;0.00;0.00;0.00;3;2006-02-21;MFL;;;PA;2006-01-01
ROU;ROM000002668;;RET;2011-09-08;2011-09-08;3 496 TL;3 496 TL;496 TL;TULCEA;;;N;N;N;N;;N;;FX;GNS;LLD;;;;;10.55;0.00;3.44;0.00;0.00;21.00;0.00;3;2006-02-27;MFL;;;AC;1989-01-01
ROU;ROM000002731;;RET;2023-07-07;2023-07-07;64381;3 4791 CT;4791;CT;Constanta;;Y;N;N;Y;;Y;;FX;GNS;LHP;LLS;;;;6.60;0.00;0.80;0.00;0.00;4.41;0.00;1;2006-03-13;MFL;;;;2005-01-01
ROU;ROM000002732;;RET;2012-09-13;2012-09-13;ROUP060060MG;ROUP060060MG;60 MG;MANGALIA;;;N;N;N;N;;N;;FX;GNS;LLD;;;;;5.95;0.00;0.56;0.00;0.00;19.11;0.00;3;2006-03-13;MFL;;;PA;1999-01-01
ROU;ROM000002733;;RET;2012-09-11;2012-09-11;ROUP060017MG;ROUP060017MG;17 MG;MANGALIA;;;N;N;N;N;;N;;FX;GNS;LLD;;;;;6.72;0.00;0.76;0.00;0.00;4.41;0.00;1;2006-03-13;MFL;;;PA;2000-01-01
ROU;ROM000002734;;RET;2013-05-14;2013-05-14;ROUP060138MG;ROUP060138MG;138 MG;MANGALIA;;;N;N;N;N;;N;;FX;GNS;LLS;;;;;7.08;0.00;0.82;0.00;0.00;4.41;0.00;1;2006-03-13;MFL;;;PA;1999-01-01
ROU;ROM000002788;;RET;2012-09-11;2012-09-11;ROUP060356JR;ROUP060356JR;356 JR;JURILOVCA;;;N;N;N;N;;N;;FX;GNS;LLD;;;;;7.35;0.00;1.12;0.00;0.00;0.00;0.00;1;2006-03-21;MFL;;;PA;1999-01-01
ROU;ROM000002789;;RET;2012-09-11;2012-09-11;ROUP060357JR;ROUP060357JR;357 JR;JURILOVCA;;;N;N;N;N;;N;;FX;GNS;LLD;;;;;7.18;0.00;1.07;0.00;0.00;0.00;0.00;1;2006-03-21;MFL;;;PA;1999-01-01
ROU;ROM000002790;;RET;2012-09-11;2012-09-11;ROUP060358JR;ROUP060358JR;358 JR;JURILOVCA;;;N;N;N;N;;N;;FX;GNS;LLD;;;;;7.36;0.00;1.10;0.00;0.00;0.00;0.00;1;2006-03-21;MFL;;;PA;1999-01-01
ROU;ROM000002791;;RET;2012-09-11;2012-09-11;ROUP060359JR;ROUP060359JR;359 JR;JURILOVCA;;;N;N;N;N;;N;;FX;GNS;GTR;;;;;7.36;0.00;1.12;0.00;0.00;0.00;0.00;1;2006-03-21;MFL;;;PA;1999-01-01
ROU;ROM000002792;;RET;2012-09-11;2012-09-11;ROUP060360JR;ROUP060360JR;360 JR;JURILOVCA;;;N;N;N;N;;N;;FX;GNS;GTR;;;;;7.30;0.00;1.03;0.00;0.00;0.00;0.00;1;2006-03-21;MFL;;;PA;2000-01-01
ROU;ROM000002793;;RET;2012-09-11;2012-09-11;ROUP060361JR;ROUP060361JR;361 JR;JURILOVCA;;;N;N;N;N;;N;;FX;GNS;LLD;;;;;7.26;0.00;0.94;0.00;0.00;0.00;0.00;1;2006-03-21;MFL;;;PA;2000-01-01
ROU;ROM000002820;;RET;2014-06-10;2014-06-10;ROUP060371TO;ROUP060371TO;371 TO;TOMIS;;;N;N;N;N;;N;;FX;GNS;LLS;;;;;8.95;0.00;2.42;0.00;0.00;55.00;0.00;1;2006-03-27;MFL;;;PA;2005-01-01
ROU;ROM000002821;;RET;2012-09-11;2012-09-11;ROUP060039MM;ROUP060039MM;39 MM;MANGALIA;;;N;N;N;N;;N;;FX;GNS;LLD;;;;;6.50;0.00;0.60;0.00;0.00;10.00;0.00;3;2006-03-22;MFL;;;PA;1999-01-01
