Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
HRV;HRV000014398;;RET;2024-06-24;2024-06-24;IT-264;IT-264;IT-264;HRIST;Ist;;N;N;N;N;Y;N;;FX;GNS;LLS;;;;;3.98;0.00;0.59;0.00;0.00;3.68;0.00;1;2016-05-12;MFL;;;PA;1963-01-01
HRV;HRV000014400;;RET;2017-02-24;2017-02-24;ZD-334;ZD-334;ZD-334;ZD;;;N;N;N;;;;;FX;GNS;LLS;;;;;6.35;0.00;1.24;0.00;0.00;13.00;0.00;1;2013-07-01;MFL;;;PA;1957-01-01
HRV;HRV000014401;;RET;2016-01-04;2016-01-04;SA-403;SA-403;SA-403;SA;United Kingdom;;N;N;N;;;;;FX;GNS;LLS;;;;;6.70;0.00;2.14;0.00;0.00;6.60;0.00;1;2013-07-01;MFL;;;PA;1984-01-01
HRV;HRV000014403;;CEN;2013-07-01;2100-12-31;296-UM;296-UM;296-UM;UM;;;N;Y;N;;;;;FX;HMD;NO;;;;;12.12;0.00;9.20;0.00;0.00;110.00;0.00;1;2013-07-01;MFL;;;;1982-01-01
HRV;HRV000014405;;RET;2016-01-04;2016-01-04;179-SD;179-SD;179-SD;SD;United Kingdom;;N;N;N;;;;;FX;GNS;LLS;;;;;5.55;0.00;1.16;0.00;0.00;3.70;0.00;3;2013-07-01;MFL;;;PA;2006-01-01
HRV;HRV000014407;;RET;2023-04-13;2023-04-13;726-MU;726-MU;726-MU;HRMUR;Murter;;N;N;N;Y;Y;N;;FX;GNS;GTR;;;;;7.86;0.00;4.00;0.00;0.00;169.28;0.00;3;2013-07-01;MFL;;;PA;1984-01-01
HRV;HRV000014410;;RET;2017-09-21;2017-09-21;ZD-8916;ZD-8916;ZD-8916;ZD;;;N;N;N;;;;;FX;GNS;LLS;;;;;5.99;0.00;1.90;0.00;0.00;80.80;0.00;3;2013-07-01;MFL;;;PA;2009-01-01
HRV;HRV000014413;;RET;2022-04-13;2022-04-13;BG-3903;BG-3903;BG-3903;HRBNM;Biograd Na Moru;;N;N;N;N;;N;;FX;GNS;LLS;;;;;4.60;0.00;1.00;0.00;0.00;3.80;0.00;3;2016-12-07;MFL;;;PA;1986-01-01
HRV;HRV000014414;;RET;2016-01-04;2016-01-04;OM-977;OM-977;OM-977;OM;;;N;N;N;;;;;FX;GNS;LLS;;;;;5.80;0.00;1.31;0.00;0.00;7.30;0.00;3;2013-07-01;MFL;;;PA;1987-01-01
HRV;HRV000014417;;RET;2017-02-24;2017-02-24;SL-430;SL-430;SL-430;SL;Romania;;N;N;N;;;;;FX;GNS;LLS;;;;;5.40;0.00;1.40;0.00;0.00;13.40;0.00;1;2013-07-01;MFL;;;PA;1999-01-01
HRV;HRV000014418;;MOD;2022-12-02;2100-12-31;914-ML;914-ML;914-ML;HRLZS;Mali Lošinj;;N;N;N;N;;N;;FX;GNS;LLS;;;;;6.10;0.00;1.64;0.00;0.00;15.00;0.00;1;2013-07-01;MFL;;;;1957-01-01
HRV;HRV000014419;;RET;2016-01-04;2016-01-04;OM-524;OM-524;OM-524;OM;;;N;N;N;;;;;FX;GNS;LLS;;;;;7.85;0.00;2.11;0.00;0.00;6.60;0.00;1;2013-07-01;MFL;;;PA;1971-01-01
HRV;HRV000014422;;RET;2016-01-04;2016-01-04;RB-585;RB-585;RB-585;RB;;;N;N;N;;;;;FX;GNS;LLS;;;;;5.37;0.00;1.63;0.00;0.00;6.61;0.00;1;2013-07-01;MFL;;;PA;1967-01-01
HRV;HRV000014423;;CEN;2013-07-01;2100-12-31;650-PO;650-PO;650-PO;PO;Latvia;;N;Y;N;;;;;FX;GTR;GNS;;;;;4.90;0.00;0.85;0.00;0.00;3.67;0.00;1;2013-07-01;MFL;;;;1982-01-01
HRV;HRV000014425;;RET;2016-10-10;2016-10-10;ZD-3277;ZD-3277;ZD-3277;ZD;;;N;N;N;;;;;FX;GNS;LLS;;;;;4.85;0.00;1.00;0.00;0.00;3.30;0.00;3;2015-05-22;MFL;;;PA;1983-01-01
HRV;HRV000014426;;RET;2023-08-25;2023-08-25;ZD-3465;ZD-3465;ZD-3465;HRZAD;Zadar;;N;N;N;N;Y;N;;FX;GNS;LLS;;;;;4.50;0.00;1.00;0.00;0.00;2.90;0.00;3;2015-05-22;MFL;;;PA;1984-01-01
HRV;HRV000014430;;RET;2017-02-24;2017-02-24;ZD-8594;ZD-8594;ZD-8594;ZD;;;N;N;N;;;;;FX;GNS;LLS;;;;;8.00;0.00;2.62;0.00;0.00;28.50;0.00;1;2013-07-01;MFL;;;PA;1982-01-01
HRV;HRV000014436;;RET;2017-02-24;2017-02-24;RB-855;RB-855;RB-855;RB;;;N;N;N;;;;;FX;GNS;LLS;;;;;7.00;0.00;2.67;0.00;0.00;13.24;0.00;1;2013-07-01;MFL;;;PA;1978-01-01
HRV;HRV000014437;;RET;2015-07-17;2015-07-17;242-UM;242-UM;242-UM;UM;;;N;N;N;;;;;FX;NO;GTR;;;;;5.95;0.00;0.54;0.00;0.00;10.30;0.00;1;2013-07-01;MFL;;;PA;1989-01-01
HRV;HRV000014440;;RET;2017-02-24;2017-02-24;ML-2459;ML-2459;ML-2459;ML;United Kingdom;;N;N;N;;;;;FX;GNS;LLS;;;;;6.75;0.00;2.91;0.00;0.00;15.40;0.00;;2013-07-01;MFL;;;PA;
HRV;HRV000014441;;RET;2017-02-24;2017-02-24;CS-1223;CS-1223;CS-1223;CS;United Kingdom;;N;N;N;;;;;FX;GNS;LLS;;;;;10.90;0.00;9.01;0.00;0.00;59.00;0.00;3;2013-07-01;MFL;;;PA;1994-01-01
HRV;HRV000014442;;RET;2016-01-04;2016-01-04;IT-190;IT-190;IT-190;IT;;;N;N;N;;;;;FX;GNS;LLS;;;;;6.50;0.00;1.50;0.00;0.00;8.80;0.00;1;2013-07-01;MFL;;;PA;1986-01-01
HRV;HRV000014443;;MOD;2016-12-08;2100-12-31;SA-500;SA-500;SA-500;SA;United Kingdom;;N;Y;N;;;;;FX;GNS;LLS;;;;;6.50;0.00;1.56;0.00;0.00;11.76;0.00;1;2013-07-01;MFL;;;;1963-01-01
HRV;HRV000014444;;RET;2017-02-24;2017-02-24;ML-1233;ML-1233;ML-1233;ML;United Kingdom;;N;N;N;;;;;FX;GNS;LLS;;;;;5.90;0.00;1.40;0.00;0.00;13.50;0.00;3;2013-07-01;MFL;;;PA;1986-01-01
HRV;HRV000014446;;RET;2017-02-24;2017-02-24;RB-1688;RB-1688;RB-1688;RB;;;N;N;N;;;;;FX;GNS;LLS;;;;;8.15;0.00;3.96;0.00;0.00;25.76;0.00;1;2013-07-01;MFL;;;PA;1982-01-01
HRV;HRV000014447;;RET;2024-06-18;2024-06-18;BG-1936;BG-1936;BG-1936;HRBNM;Biograd Na Moru;;N;N;N;N;Y;N;;FX;GNS;LLS;;;;;6.20;0.00;1.31;0.00;0.00;8.82;0.00;1;2013-06-30;MFL;;;PA;1983-01-01
HRV;HRV000014450;;CEN;2013-07-01;2100-12-31;PR-1298;PR-1298;PR-1298;PR;;;N;Y;N;;;;;FX;GNS;LLS;;;;;7.30;0.00;1.58;0.00;0.00;11.10;0.00;1;2013-07-01;MFL;;;;1931-01-01
HRV;HRV000014451;;RET;2023-03-02;2023-03-02;608-PU;608-PU;608-PU;HRPUY;Pula;;N;N;N;N;Y;N;;FX;GTR;GNS;;;;;5.50;0.00;1.00;0.00;0.00;0.00;0.00;3;2013-07-01;MFL;;;PA;2004-01-01
HRV;HRV000014452;;RET;2024-06-20;2024-06-20;PR-1202;PR-1202;PR-1202;HRPRE;Preko;;N;N;N;N;Y;N;;FX;GNS;LLS;;;;;6.04;0.00;1.45;0.00;0.00;13.20;0.00;1;2013-07-01;MFL;;;PA;1965-01-01
HRV;HRV000014455;;RET;2017-02-24;2017-02-24;ŠL-990;ŠL-990;ŠL-990;SIL;;;N;N;N;;;;;FX;GNS;LLS;;;;;7.12;0.00;2.70;0.00;0.00;48.00;0.00;3;2013-07-01;MFL;;;PA;2005-01-01
HRV;HRV000014456;;CHA;2016-10-27;2100-12-31;TT-252;TT-252;TT-252;TT;United Kingdom;;N;Y;N;;;;;FX;GNS;LLS;;;;;4.99;0.00;1.21;0.00;0.00;4.40;0.00;3;2016-10-27;MFL;;;;1979-01-01
HRV;HRV000014457;;RET;2024-07-26;2024-07-26;101233-BG;101233-BG;101233-BG;HRBNM;Biograd Na Moru;;N;N;N;N;Y;N;;FX;GNS;LLS;;;;;3.65;0.00;1.00;0.00;0.00;3.68;0.00;1;2013-07-01;MFL;;;PA;1989-01-01
HRV;HRV000014458;;RET;2024-07-17;2024-07-17;PERNA;;PERNA;HRSPU;Split;9AA2277;Y;N;N;N;Y;Y;238787940;FX;GNS;GTR;;;;;10.80;0.00;15.00;0.00;0.00;88.30;0.00;1;2013-07-01;MFL;;;PA;1972-01-01
HRV;HRV000014461;;MOD;2023-11-30;2100-12-31;906-PO;906-PO;906-PO;HRPOR;Poreč;;N;Y;Y;Y;Y;N;;FX;PS;NO;;;;;12.30;0.00;11.00;0.00;0.00;92.00;0.00;4;2013-07-01;MFL;;;;1984-01-01
HRV;HRV000014463;;RET;2016-01-04;2016-01-04;OM-341;OM-341;OM-341;OM;;;N;N;N;;;;;FX;GNS;LLS;;;;;5.80;0.00;2.60;0.00;0.00;6.00;0.00;3;2013-07-01;MFL;;;PA;1979-01-01
HRV;HRV000014466;;RET;2017-02-24;2017-02-24;SE-587;SE-587;SE-587;SE;United Kingdom;;N;N;N;;;;;FX;GNS;LLS;;;;;4.67;0.00;2.09;0.00;0.00;29.40;0.00;;2013-07-01;MFL;;;PA;
HRV;HRV000014467;;CEN;2013-07-01;2100-12-31;262-MD;262-MD;262-MD;MD;;;N;Y;N;;;;;FX;GNS;GTR;;;;;6.00;0.00;1.45;0.00;0.00;44.10;0.00;3;2013-07-01;MFL;;;;1975-01-01
HRV;HRV000014468;;RET;2017-02-24;2017-02-24;PO -547;PO -547;PO -547;PO;Latvia;;N;N;N;;;;;FX;GNS;LLS;;;;;7.88;0.00;2.63;0.00;0.00;29.40;0.00;;2013-07-01;MFL;;;PA;
HRV;HRV000014469;;MOD;2024-02-19;2100-12-31;60-SG;60-SG;60-SG;HRSGD;Stari Grad;;N;Y;Y;Y;Y;N;;FX;GNS;PS;;;;;10.55;0.00;5.00;0.00;0.00;110.00;0.00;3;2013-07-01;MFL;;;;2009-01-01
HRV;HRV000014471;;CHA;2016-04-25;2100-12-31;NV-1304;NV-1304;NV-1304;NV;;;N;Y;N;;;;;FX;GNS;LLS;;;;;4.86;0.00;1.00;0.00;0.00;5.90;0.00;3;2016-04-25;MFL;;;;2007-01-01
HRV;HRV000014472;;CHA;2022-03-29;2100-12-31;905-DB;905-DB;905-DB;HRDBV;Dubrovnik;;N;Y;N;N;;N;;FX;GNS;LLS;;;;;6.60;0.00;1.66;0.00;0.00;22.06;0.00;1;2013-07-01;MFL;;;;1972-01-01
HRV;HRV000014474;;RET;2017-02-24;2017-02-24;ML-2810;ML-2810;ML-2810;ML;United Kingdom;;N;N;N;;;;;FX;GNS;LLS;;;;;7.99;0.00;3.51;0.00;0.00;184.00;0.00;1;2013-07-01;MFL;;;PA;2002-01-01
HRV;HRV000014475;;MOD;2024-01-10;2100-12-31;410-TI;410-TI;410-TI;HRTNO;Tisno;9A8442;Y;Y;N;Y;Y;Y;238485640;FX;LHP;LTL;;;;;9.54;0.00;9.00;0.00;0.00;468.00;0.00;3;2013-07-01;MFL;;;;1996-01-01
HRV;HRV000014476;;MOD;2017-09-19;2100-12-31;ML-2288;ML-2288;ML-2288;ML;United Kingdom;;N;Y;N;;;;;FX;GNS;LLS;;;;;6.00;0.00;2.00;0.00;0.00;10.30;0.00;3;2013-07-01;MFL;;;;1991-01-01
HRV;HRV000014477;;RET;2017-02-24;2017-02-24;RB-789;RB-789;RB-789;RB;;;N;N;N;;;;;FX;GNS;LLS;;;;;7.43;0.00;2.33;0.00;0.00;16.92;0.00;1;2013-07-01;MFL;;;PA;1976-01-01
HRV;HRV000014478;;RET;2020-03-11;2020-03-11;ŠL-816;ŠL-816;ŠL-816;SIL;;;N;N;N;N;;N;;FX;GNS;LLS;;;;;4.10;0.00;0.57;0.00;0.00;11.02;0.00;4;2017-08-10;MFL;;;PA;1993-01-01
HRV;HRV000014481;;CHA;2018-11-13;2100-12-31;OM-970;OM-970;OM-970;OM;;;N;Y;N;N;;N;;FX;GNS;LLS;;;;;6.35;0.00;2.34;0.00;0.00;95.60;0.00;3;2013-07-01;MFL;;;PA;1987-01-01
HRV;HRV000014482;;RET;2013-08-14;2013-08-14;215-RB;215-RB;215-RB;RB;;;N;N;N;;;;;FX;GNS;LLS;;;;;5.00;0.00;1.11;0.00;0.00;3.67;0.00;3;2013-07-01;MFL;;;PA;1977-01-01
HRV;HRV000014484;;RET;2017-02-24;2017-02-24;KK-1102;KK-1102;KK-1102;KK;;;N;N;N;;;;;FX;GNS;LLS;;;;;6.40;0.00;3.00;0.00;0.00;98.40;0.00;3;2013-07-01;MFL;;;PA;2004-01-01
HRV;HRV000014489;;RET;2016-01-04;2016-01-04;BG-1168;BG-1168;BG-1168;BG;;;N;N;N;;;;;FX;GNS;LLS;;;;;6.60;0.00;1.54;0.00;0.00;7.35;0.00;1;2013-07-01;MFL;;;PA;1970-01-01
HRV;HRV000014491;;RET;2022-02-18;2022-02-18;SA-129;SA-129;SA-129;HRSAL;Sali;;N;N;N;N;;N;;FX;GNS;LLS;;;;;4.70;0.00;1.10;0.00;0.00;3.00;0.00;1;2016-05-13;MFL;;;PA;1983-01-01
HRV;HRV000014492;;MOD;2016-05-24;2100-12-31;SA-596;SA-596;SA-596;SA;United Kingdom;;N;Y;N;;;;;FX;GNS;LLS;;;;;5.45;0.00;1.62;0.00;0.00;11.77;0.00;1;2013-07-01;MFL;;;;1967-01-01
HRV;HRV000014493;;RET;2024-06-11;2024-06-11;SA-564;SA-564;SA-564;HRSAL;Sali;;N;N;N;N;Y;N;;FX;GNS;LLS;;;;;4.85;0.00;0.95;0.00;0.00;3.00;0.00;3;2016-05-24;MFL;;;PA;1981-01-01
HRV;HRV000014494;;RET;2017-12-20;2017-12-20;SA-727;SA-727;SA-727;SA;United Kingdom;;N;N;N;;;;;FX;GNS;LLS;;;;;5.18;0.00;1.60;0.00;0.00;6.60;0.00;1;2016-07-06;MFL;;;PA;1972-01-01
HRV;HRV000014495;;CHA;2016-07-04;2100-12-31;BŽ-273;BŽ-273;BŽ-273;BZ;;;N;Y;N;;;;;FX;GNS;LLS;;;;;5.60;0.00;1.00;0.00;0.00;4.40;0.00;1;2016-07-04;MFL;;;;1969-01-01
HRV;HRV000014496;;RET;2017-02-27;2017-02-27;DB-3262;DB-3262;DB-3262;DB;;;N;N;N;;;;;FX;GNS;LLS;;;;;5.40;0.00;1.07;0.00;0.00;22.10;0.00;1;2013-07-01;MFL;;;PA;1973-01-01
HRV;HRV000014497;;MOD;2017-02-01;2100-12-31;ZD-4163;ZD-4163;ZD-4163;ZD;;;N;Y;N;;;;;FX;GNS;LLS;;;;;6.04;0.00;1.87;0.00;0.00;6.60;0.00;1;2013-07-01;MFL;;;;1953-01-01
HRV;HRV000014498;;MOD;2018-09-25;2100-12-31;PR-2261;PR-2261;PR-2261;PR;;;N;Y;N;N;;N;;FX;GNS;LLS;;;;;3.85;0.00;1.00;0.00;0.00;2.94;0.00;3;2018-09-21;MFL;;;;1994-01-01
HRV;HRV000014499;;RET;2017-02-27;2017-02-27;ZD-2691;ZD-2691;ZD-2691;ZD;;;N;N;N;;;;;FX;GNS;LLS;;;;;7.12;0.00;1.88;0.00;0.00;28.50;0.00;1;2013-07-01;MFL;;;PA;1970-01-01
HRV;HRV000014500;;RET;2017-02-27;2017-02-27;PR-1203;PR-1203;PR-1203;PR;;;N;N;N;;;;;FX;GNS;LLS;;;;;6.23;0.00;1.42;0.00;0.00;11.90;0.00;1;2013-07-01;MFL;;;PA;1956-01-01
HRV;HRV000014501;;RET;2024-06-21;2024-06-21;IT-243;IT-243;IT-243;HRIST;Ist;;N;N;N;N;Y;N;;FX;GNS;LLS;;;;;5.85;0.00;1.59;0.00;0.00;5.90;0.00;1;2013-07-01;MFL;;;PA;1984-01-01
HRV;HRV000014503;;CHA;2016-11-24;2100-12-31;BŽ-181;BŽ-181;BŽ-181;BZ;;;N;Y;N;;;;;FX;GNS;LLS;;;;;4.74;0.00;0.85;0.00;0.00;3.00;0.00;3;2016-11-24;MFL;;;;1974-01-01
