sources;port_name;coordinates;locode;country_region;fao_areas
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Abula;58.43222222,22.11527778,0.000001;EEABU;EE;{27.3.d.29}},{{27.3.d.28.2}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Acciaroli;40.183333,15.016667,0.000001;ITAOL;IT;{37.1.3}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Accumersiel;53.526,8.049,0.000001;DEACC;DE;{27.4.b}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Acheloou Ekvoles;0.0,0.0,0.000001;GRACH;GR;{34.3.4}},{{34.4.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Achern;;DEACH;DE;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Achill;53.94483472,-9.884187589,0.000001;IEACL;IE;{27.7.b}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Achilleio Magnisias;39.033,22.966,0.000001;GRAXL;GR;{37.3.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Achim;53.03333333,9.016666667,0.000001;DEACM;DE;{27.4.b}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db,WPI;Achladi;38.900000,22.816667,0.000001;GRACL;Greece - Greece East Coast -- 42010;{37.3.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Acht;;NLQCJ;NL;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Achterwehr;54.31666667,9.966666667,0.000001;DEAWR;DE;{27.3.b},{c}},{{27.3.c.22}
