CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
ESP000005115;;ESP;Secretaría General de Pesca;10/05/1989;303.00;249.67;0.00;5115;36.85;32.00;ORLAMAR;3-CO-23590;3-CO-23590;La Coruña;Baja Definitiva (desde el 21/01/2004);Y;EGMG;Y;;;;-;FX;ZONAS CIEM VB, VI,VII y VIIIabde.;OTB, PTB;882,60 kW (1200,0 CV)|882.35;430.15;Acero|Metal;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3609;1976-06-11;MFL;1975-01-01;2004-01-21;
ESP000003629;;ESP;Secretaría General de Pesca;10/05/1989;267.00;246.56;0.00;3629;32.25;29.50;ORMALOMAR;3CO-2-3832;3CO-2-3832;Santa Eugenia De Riveira;Baja Definitiva (desde el 04/06/2009);Y;EGVP;Y;Y;N;;-;FX;ZONAS CIEM VB, VI,VII y VIIIabde.;LLS, GNS;588,40 kW (800,0 CV)|588.40;176.52;Acero|Metal;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/2540;1976-11-19;MFL;1976-01-01;2009-06-04;
ESP000050135;;ESP;Secretaría General de Pesca;10/05/1989;1.00;1.04;0.00;50135;5.00;0.00;OSCAR;3CO-2-3767;3CO-2-3767;Ferrol;Alta Definitiva (desde el 10/05/1989);N;;N;N;N;;-;FX;CANTABRICO NW;GNS, GTR;18,38 kW (25,0 CV)|18.38;0.00;Poliester|Polyester;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/15576;1984-06-20;MFL;1984-01-01;;
ESP000014496;224012890;ESP;Secretaría General de Pesca;10/05/1989;40.46;38.56;1.36;14496;17.90;14.79;OSTRA SEGUNDO;3CO-2-3776;3CO-2-3776;Vigo;Alta Definitiva (desde el 10/05/1989);Y;EA4425;Y;Y;Y;;-;FX;CANTABRICO NW;PS, NK;164,71 kW (223,9 CV)|164.71;36.77;Poliester|Polyester;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/7450;1985-05-08;MFL;1985-01-01;;
-;;;Comunitat Valenciana;20/09/2013;;;;27613;;;OVERSEAS UNO;;;Villajoyosa;Alta Definitiva (desde el 15/06/2022);;;;;;;-;;;;73,55 kW (100,0 CV);;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/22728;;;;;
ESP000004933;;ESP;Secretaría General de Pesca;10/05/1989;0.00;19.67;0.00;4933;14.70;13.40;PACO LUIS;3-CO-23071;3-CO-23071;Malpica de Bergantiños;Baja Definitiva (desde el 03/05/1991);U;;N;;;;-;FX;CANTABRICO NW;PS, NO;73,55 kW (100,0 CV)|74.00;0.00;Madera;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3483;1967-06-29;4;;1991-05-03;
ESP000005088;;ESP;Secretaría General de Pesca;10/05/1989;0.00;192.97;0.00;5088;32.96;28.60;PAKEA LURREAN;3-CO-23700;3-CO-23700;La Coruña;Baja Definitiva (desde el 25/06/1993);Y;EAND;N;;;;-;FX;ZONAS CIEM VB, VI,VII y VIIIabde.;TBB, NO;441,30 kW (600,0 CV)|441.00;0.00;Acero;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3594;1965-08-20;D10;;1993-06-25;
ESP000004139;;ESP;Secretaría General de Pesca;10/05/1989;0.00;2.03;0.00;4139;0.00;6.70;PARAGUANA;3-CO-22589;3-CO-22589;Mera-Oleiros;Baja Definitiva (desde el 18/06/1997);U;;N;;;;-;FX;CANTABRICO NW;LHP, NO;5,15 kW (7,0 CV)|5.00;0.00;Madera;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/2906;1959-11-28;4E1;;1997-06-18;
ESP000051257;;ESP;Secretaría General de Pesca;10/05/1989;0.33;0.68;0.00;51257;4.06;3.62;PARROTE;3CO-2-2741;3CO-2-2741;La Coruña;Alta Definitiva (desde el 10/05/1989);N;;N;N;N;;-;FX;CANTABRICO NW;GNS, GTR;3,68 kW (5,0 CV)|3.68;0.00;Madera|Wood;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/16001;1961-11-14;MFL;1961-01-01;;
ESP000004016;;ESP;Secretaría General de Pesca;10/05/1989;0.00;6.34;0.00;4016;0.00;9.50;PARUCA;3-CO-23628;3-CO-23628;Lorbe;Baja Definitiva (desde el 17/05/1993);U;;N;;;;-;FX;;GNS, LHM;51,48 kW (70,0 CV)|51.00;0.00;Madera;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/2823;1976-01-08;D11;;1993-05-17;
ESP000100081;225990490;ESP;Secretaría General de Pesca;27/05/2019;64.08;52.16;1.25;100081;22.00;19.00;PASA AQUI;3CO-2-1-19;3CO-2-1-19;La Coruña;Alta Definitiva (desde el 21/06/2019);Y;EA6617;Y;Y;Y;8567585;8567585;FX;CANTABRICO NW;PS, NO;447,21 kW (608,0 CV)|447.21;0.00;Fibra de Vidrio/Plástico|Fiber/Plastic;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/20878;2019-05-20;MFL;2019-01-01;;
ESP000006327;;ESP;Secretaría General de Pesca;10/05/1989;1.69;2.42;0.00;6327;0.00;6.20;PASARIN;3-CO-23717;3-CO-23717;Burela;Baja Definitiva (desde el 01/10/1998);U;;N;;;;-;FX;CANTABRICO NW;GNS, LLS;11,77 kW (16,0 CV)|12.00;0.00;Madera;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/4500;1980-10-13;4E1;;1998-10-01;
ESP000100285;;ESP;Secretaría General de Pesca;06/10/2021;2.50;2.96;0.00;100285;7.47;5.98;PEDRA DA COTA;3CO-2-2-20;3CO-2-2-20;La Coruña;Alta Definitiva (desde el 11/12/2022);N;;N;N;N;;-;FX;CANTABRICO NW;GNS, GTR;22,00 kW (29,9 CV)|22.00;0.00;Fibra de Vidrio/Plástico|Fiber/Plastic;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/22811;2021-06-10;MFL;2021-01-01;;
ESP000004012;224005670;ESP;Secretaría General de Pesca;10/05/1989;43.16;43.00;0.00;4012;19.70;0.00;PEDRA DO MAR;3CO-2-3602;3CO-2-3602;Camariñas;Alta Definitiva (desde el 10/05/1989);Y;EA7536;Y;Y;Y;;-;FX;CANTABRICO NW;PS, NK;176,47 kW (239,9 CV)|176.47;44.13;Madera|Wood;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/2820;1975-05-19;MFL;1973-01-01;;
ESP000005279;;ESP;Secretaría General de Pesca;10/05/1989;0.00;230.43;0.00;5279;35.71;30.00;PEDRA DO NAVIO;3-CO-23749;3-CO-23749;Corme;Baja Definitiva (desde el 26/11/1997);Y;EDEP;N;;;;-;FX;CANTABRICO NW;TBB, NO;426,59 kW (580,0 CV)|426.00;0.00;Acero;;1964-08-04;4E2;;1997-11-26;
ESP000005037;;ESP;Secretaría General de Pesca;10/05/1989;285.00;253.23;0.00;5037;36.80;33.41;PEIXEMAR;3-CO-23838;3-CO-23838;La Coruña;Baja Definitiva (desde el 13/02/2003);Y;EAQL;Y;;;;-;FX;ZONAS CIEM VB, VI,VII y VIIIabde.;OTB, PTB;698,72 kW (950,0 CV)|698.53;170.59;Acero|Metal;;1971-10-30;MFL;1971-01-01;2003-02-13;
ESP000025464;224273000;ESP;Secretaría General de Pesca;13/02/2003;392.00;225.01;0.00;25464;38.80;32.00;PEIXEMAR DOS;3CO-2-1-02;3CO-2-1-02;Vigo;Alta Definitiva (desde el 08/10/2004);Y;EBXX;Y;Y;Y;9022879;9022879;FX;ZONAS CIEM VB, VI,VII y VIIIabde.;OTB, PTB;809,97 kW (1101,3 CV)|809.97;0.00;Acero|Metal;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/13241;2003-01-30;MFL;2003-01-01;;
ESP000009287;;ESP;Secretaría General de Pesca;10/05/1989;0.00;692.83;0.00;9287;51.46;47.76;PEÑAMAR;3-CO-23822;3-CO-23822;La Coruña;Baja Definitiva (desde el 18/12/1991);Y;EASW;N;;;;-;FX;;TBB, NO;878,92 kW (1195,0 CV)|878.00;0.00;Acero;;1975-01-16;5;;1991-12-18;
ESP000058757;225989855;ESP;Secretaría General de Pesca;28/01/2011;1.64;3.02;0.00;58757;6.30;5.04;PERCEBERUCHA;3CO-2-4-10;3CO-2-4-10;La Coruña;Alta Definitiva (desde el 05/04/2011);N;;N;N;Y;;-;FX;CANTABRICO NW;GNS, GTR;58,82 kW (80,0 CV)|58.82;0.00;Poliester|Polyester;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/20547;2010-10-28;MFL;2010-01-01;;
ESP000005036;;ESP;Secretaría General de Pesca;10/05/1989;0.00;204.07;0.00;5036;31.92;29.00;PERPETUO SOCORRO;3-CO-23773;3-CO-23773;La Coruña;Baja Definitiva (desde el 20/05/1996);Y;EDLA;N;;;;-;FX;CANTABRICO NW;PTB, NO;316,26 kW (430,0 CV)|316.00;0.00;Acero;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/3563;1961-08-10;D10;;1996-05-20;
