PUERTO BASE;AÑO;NUM_BARCOS
Arenys de Mar;2017;54
Arenys de Mar;2018;51
Arenys de Mar;2019;50
Arenys de Mar;2020;66
Arenys de Mar;2021;62
Arenys de Mar;2022;58
Arenys de Mar;2023;56
Arenys de Mar;2024;49
Arenys de Mar;2025;47
Ares;2006;14
Ares;2007;11
Ares;2008;9
Ares;2009;9
Ares;2010;9
Ares;2011;9
Ares;2012;10
Ares;2013;9
Ares;2014;11
Ares;2015;10
Ares;2016;10
Ares;2017;10
Ares;2018;10
Ares;2019;9
Ares;2020;9
Ares;2021;9
Ares;2022;9
Ares;2023;8
Ares;2024;8
Ares;2025;7
Arguineguín;2006;72
Arguineguín;2007;71
Arguineguín;2008;65
Arguineguín;2009;60
Arguineguín;2010;57
Arguineguín;2011;56
Arguineguín;2012;51
Arguineguín;2013;51
Arguineguín;2014;49
Arguineguín;2015;48
Arguineguín;2016;47
Arguineguín;2017;45
Arguineguín;2018;48
Arguineguín;2019;46
Arguineguín;2020;47
Arguineguín;2021;47
Arguineguín;2022;46
Arguineguín;2023;45
Arguineguín;2024;45
Arguineguín;2025;43
Armintza;2006;7
Armintza;2007;7
Armintza;2008;7
Armintza;2009;7
Armintza;2010;7
Armintza;2011;7
Armintza;2012;7
Armintza;2013;7
Armintza;2014;7
Armintza;2015;6
Armintza;2016;5
Armintza;2017;5
Armintza;2018;5
Armintza;2019;4
Armintza;2020;5
Armintza;2021;5
Armintza;2022;5
Armintza;2023;5
Armintza;2024;6
Armintza;2025;5
Arrecife de Lanzarote;2006;110
Arrecife de Lanzarote;2007;93
Arrecife de Lanzarote;2008;51
Arrecife de Lanzarote;2009;43
Arrecife de Lanzarote;2010;42
Arrecife de Lanzarote;2011;41
Arrecife de Lanzarote;2012;36
Arrecife de Lanzarote;2013;35
Arrecife de Lanzarote;2014;33
Arrecife de Lanzarote;2015;33
Arrecife de Lanzarote;2016;34
Arrecife de Lanzarote;2017;35
Arrecife de Lanzarote;2018;36
Arrecife de Lanzarote;2019;36
Arrecife de Lanzarote;2020;37
Arrecife de Lanzarote;2021;40
Arrecife de Lanzarote;2022;42
Arrecife de Lanzarote;2023;41
Arrecife de Lanzarote;2024;39
Arrecife de Lanzarote;2025;38
Aviles;2006;52
Aviles;2007;46
Aviles;2008;48
Aviles;2009;46
Aviles;2010;42
Aviles;2011;41
Aviles;2012;39
Aviles;2013;37
Aviles;2014;34
Aviles;2015;29
Aviles;2016;26
Aviles;2017;25
Aviles;2018;24
Aviles;2019;18
Aviles;2020;19
Aviles;2021;21
Aviles;2022;21
Aviles;2023;18
Aviles;2024;17
Aviles;2025;17
Ayamonte;2006;67
Ayamonte;2007;65
Ayamonte;2008;65
Ayamonte;2009;62
Ayamonte;2010;69
Ayamonte;2011;69
Ayamonte;2012;65
Ayamonte;2013;65
Ayamonte;2014;63
Ayamonte;2015;60
Ayamonte;2016;60
Ayamonte;2017;63
Ayamonte;2018;62
Ayamonte;2019;61
Ayamonte;2020;61
Ayamonte;2021;61
Ayamonte;2022;62
Ayamonte;2023;62
Ayamonte;2024;62
Ayamonte;2025;62
Badalona;2006;53
Badalona;2007;53
Badalona;2008;51
Badalona;2009;51
Badalona;2010;42
Badalona;2011;40
Badalona;2012;24
Badalona;2013;21
Badalona;2014;20
Badalona;2015;19
Badalona;2016;17
Badalona;2017;15
Badalona;2018;12
Badalona;2019;11
Badalona;2020;11
Badalona;2021;10
Badalona;2022;10
Badalona;2023;9
Badalona;2024;8
Badalona;2025;8
Barallobre;2006;29
Barallobre;2007;30
Barallobre;2008;26
Barallobre;2009;25
Barallobre;2010;26
Barallobre;2011;27
Barallobre;2012;28
Barallobre;2013;28
Barallobre;2014;29
Barallobre;2015;28
Barallobre;2016;30
Barallobre;2017;30
Barallobre;2018;31
Barallobre;2019;31
Barallobre;2020;33
Barallobre;2021;33
Barallobre;2022;39
Barallobre;2023;41
Barallobre;2024;39
Barallobre;2025;37
Barbate;2006;82
Barbate;2007;78
Barbate;2008;72
Barbate;2009;68
Barbate;2010;64
Barbate;2011;64
Barbate;2012;65
Barbate;2013;61
Barbate;2014;59
Barbate;2015;56
Barbate;2016;57
Barbate;2017;57
Barbate;2018;55
Barbate;2019;55
Barbate;2020;53
Barbate;2021;52
Barbate;2022;50
Barbate;2023;50
Barbate;2024;51
Barbate;2025;52
Barcelona;2006;65
Barcelona;2007;63
Barcelona;2008;44
Barcelona;2009;43
Barcelona;2010;42
Barcelona;2011;40
Barcelona;2012;40
Barcelona;2013;39
Barcelona;2014;36
Barcelona;2015;36
Barcelona;2016;36
Barcelona;2017;33
Barcelona;2018;27
Barcelona;2019;27
Barcelona;2020;26
Barcelona;2021;25
Barcelona;2022;24
Barcelona;2023;22
Barcelona;2024;22
Barcelona;2025;21
Barquero-Bares;2006;14
Barquero-Bares;2007;13
Barquero-Bares;2008;13
Barquero-Bares;2009;13
Barquero-Bares;2010;13
Barquero-Bares;2011;13
Barquero-Bares;2012;14
Barquero-Bares;2013;15
Barquero-Bares;2014;13
Barquero-Bares;2015;12
Barquero-Bares;2016;12
Barquero-Bares;2017;11
Barquero-Bares;2018;10
Barquero-Bares;2019;11
Barquero-Bares;2020;11
Barquero-Bares;2021;9
Barquero-Bares;2022;8
Barquero-Bares;2023;8
Barquero-Bares;2024;8
Barquero-Bares;2025;8
Bayona;2006;106
Bayona;2007;104
Bayona;2008;99
Bayona;2009;96
Bayona;2010;96
Bayona;2011;95
Bayona;2012;91
Bayona;2013;87
Bayona;2014;87
Bayona;2015;82
Bayona;2016;79
Bayona;2017;75
Bayona;2018;73
Bayona;2019;70
Bayona;2020;71
Bayona;2021;67
Bayona;2022;68
Bayona;2023;68
Bayona;2024;69
Bayona;2025;68
Bañugues;2006;9
Bañugues;2007;8
Bañugues;2008;5
Bañugues;2009;6
Bañugues;2010;4
Bañugues;2011;3
Bañugues;2012;4
Bañugues;2013;4
Bañugues;2014;3
Bañugues;2015;1
Bañugues;2016;1
Bañugues;2017;3
Bañugues;2018;2
Bañugues;2019;4
Bañugues;2020;4
Bañugues;2021;4
Bañugues;2022;4
Bañugues;2023;4
Bañugues;2024;4
Bañugues;2025;4
Benicarlo;2006;37
Benicarlo;2007;36
